time,ax,ay,az,atotal
0.000,-0.01,0.01,0.01,0.02
0.010,0.00,-0.00,-0.00,0.00
0.020,0.01,0.01,0.00,0.02
0.030,-0.01,0.02,0.01,0.02
0.040,0.00,0.01,-0.01,0.02
0.050,0.00,0.01,-0.02,0.02
0.060,-0.01,0.01,0.00,0.02
0.070,0.01,-0.00,0.01,0.01
0.080,-0.02,0.01,-0.00,0.02
0.090,-0.02,0.00,-0.01,0.02
0.100,0.00,0.00,-0.00,0.01
0.110,-0.01,-0.00,0.01,0.01
0.120,-0.00,0.01,-0.01,0.01
0.130,-0.01,0.00,-0.02,0.02
0.140,-0.02,0.01,-0.00,0.02
0.150,-0.02,0.01,0.00,0.02
0.160,-0.01,-0.00,-0.02,0.02
0.170,-0.01,0.01,0.01,0.02
0.180,-0.01,-0.00,-0.01,0.02
0.190,-0.01,0.02,-0.01,0.02
0.200,-0.01,0.01,-0.00,0.01
0.210,-0.00,0.01,0.00,0.01
0.220,0.01,-0.01,-0.00,0.01
0.230,-0.01,0.01,0.01,0.02
0.240,-0.01,0.01,0.02,0.02
0.250,-0.00,-0.01,0.00,0.01
0.260,-0.01,0.02,-0.00,0.02
0.270,-0.01,0.01,-0.01,0.02
0.280,-0.00,0.00,0.00,0.01
0.290,-0.01,0.01,0.01,0.02
0.300,-0.01,0.01,0.01,0.02
0.310,-0.02,0.01,-0.01,0.03
0.320,-0.01,0.01,0.00,0.01
0.330,0.01,0.01,0.01,0.01
0.340,-0.00,0.01,0.01,0.01
0.350,-0.02,0.00,-0.01,0.02
0.360,0.01,0.00,-0.00,0.01
0.370,-0.00,-0.00,0.01,0.01
0.379,0.00,0.00,0.00,0.00
0.390,-0.00,0.02,-0.01,0.02
0.399,-0.02,0.00,-0.01,0.02
0.409,-0.00,-0.01,-0.01,0.02
0.419,-0.03,0.01,-0.01,0.03
0.429,-0.01,0.01,0.01,0.02
0.440,-0.01,0.00,-0.01,0.01
0.449,-0.01,0.00,0.00,0.01
0.459,0.01,0.01,0.01,0.02
0.469,0.01,0.02,-0.01,0.02
0.479,-0.01,0.01,-0.00,0.01
0.489,0.01,-0.00,-0.00,0.01
0.499,0.01,0.00,-0.00,0.01
0.509,0.01,0.01,-0.01,0.02
0.519,-0.00,0.01,0.00,0.01
0.529,-0.02,0.02,-0.01,0.03
0.539,-0.02,-0.00,0.00,0.02
0.549,-0.02,0.00,0.01,0.02
0.559,-0.02,-0.00,0.01,0.02
0.569,-0.02,0.00,-0.00,0.02
0.579,0.01,-0.01,-0.01,0.02
0.589,-0.00,-0.01,-0.00,0.01
0.599,0.01,0.00,0.00,0.01
0.609,0.00,0.00,0.00,0.00
0.619,0.01,0.01,-0.00,0.01
0.629,-0.00,0.01,-0.01,0.02
0.639,-0.01,0.01,-0.01,0.02
0.649,-0.02,0.00,-0.01,0.03
0.659,-0.00,0.01,-0.01,0.01
0.669,0.01,0.01,-0.00,0.01
0.679,-0.03,0.01,-0.00,0.03
0.689,0.00,-0.00,0.01,0.01
0.699,-0.00,-0.01,0.01,0.01
0.709,-0.01,0.00,0.00,0.01
0.719,0.00,0.01,-0.01,0.01
0.729,-0.01,0.01,0.00,0.02
0.739,-0.01,0.01,-0.00,0.01
0.749,-0.03,0.00,-0.01,0.03
0.759,0.00,0.02,-0.02,0.03
0.769,-0.00,0.02,-0.01,0.02
0.779,-0.00,0.00,0.00,0.00
0.789,-0.00,-0.00,0.01,0.01
0.799,0.00,0.01,0.00,0.01
0.809,-0.01,0.01,0.00,0.01
0.819,-0.01,0.02,-0.01,0.03
0.829,-0.00,0.02,-0.02,0.02
0.839,-0.00,0.02,-0.02,0.03
0.849,-0.00,0.02,-0.01,0.02
0.859,-0.00,0.01,-0.01,0.02
0.869,-0.00,0.01,0.01,0.01
0.879,-0.01,-0.01,-0.00,0.01
0.889,0.00,0.01,0.01,0.02
