time,ax,ay,az,atotal
0.000,0.00,0.01,-0.03,0.03
0.010,-0.01,0.03,-0.01,0.03
0.020,-0.00,0.03,-0.01,0.03
0.030,-0.01,0.04,-0.00,0.04
0.040,-0.01,0.04,-0.00,0.04
0.050,-0.01,0.02,-0.00,0.03
0.060,0.02,0.03,-0.01,0.04
0.070,-0.01,0.03,-0.02,0.04
0.080,-0.04,0.05,-0.00,0.06
0.090,-0.01,0.04,-0.01,0.04
0.100,-0.03,0.03,0.00,0.04
0.110,-0.01,0.02,-0.01,0.02
0.120,-0.02,0.03,-0.02,0.04
0.130,-0.00,0.04,-0.02,0.04
0.140,-0.00,0.03,-0.01,0.03
0.150,-0.00,0.04,-0.02,0.05
0.160,-0.00,0.03,-0.02,0.04
0.170,-0.01,0.03,-0.00,0.03
0.180,-0.01,0.03,-0.01,0.04
0.190,-0.01,0.01,-0.02,0.02
0.200,-0.01,0.03,-0.01,0.03
0.210,-0.01,0.03,-0.01,0.03
0.220,-0.02,0.02,-0.02,0.04
0.230,-0.01,0.05,-0.01,0.05
0.240,-0.01,0.04,-0.01,0.04
0.250,-0.01,0.02,-0.01,0.02
0.260,-0.02,0.04,-0.01,0.04
0.270,-0.01,0.02,-0.01,0.03
0.280,0.00,0.03,-0.01,0.03
0.290,-0.02,0.03,-0.01,0.04
0.300,-0.01,0.05,-0.01,0.05
0.310,-0.01,0.03,-0.03,0.04
0.320,-0.01,0.02,-0.01,0.02
0.330,-0.01,0.03,0.00,0.03
0.340,-0.00,0.04,-0.01,0.04
0.350,-0.02,0.02,-0.01,0.03
0.360,-0.02,0.04,-0.00,0.04
0.370,-0.02,0.03,-0.01,0.04
0.380,-0.01,0.03,-0.03,0.04
0.390,-0.01,0.03,-0.02,0.04
0.400,-0.02,0.02,-0.01,0.03
0.410,-0.01,0.02,-0.02,0.03
0.420,0.00,0.02,-0.02,0.03
0.430,-0.01,0.01,-0.01,0.02
0.440,-0.01,0.02,-0.01,0.03
0.450,-0.01,0.02,-0.01,0.02
0.459,-0.02,0.01,-0.01,0.02
0.470,-0.01,0.03,-0.02,0.03
0.479,0.00,0.03,-0.01,0.03
0.489,-0.01,0.02,-0.02,0.03
0.499,-0.01,0.04,-0.01,0.04
0.509,0.01,0.05,-0.01,0.05
0.519,-0.01,0.05,-0.02,0.05
0.529,-0.01,0.02,-0.01,0.03
0.539,-0.01,0.03,-0.02,0.04
0.549,-0.02,0.02,-0.03,0.04
0.559,-0.01,0.04,-0.01,0.04
0.569,-0.01,0.03,0.00,0.03
0.579,-0.01,0.02,-0.01,0.03
0.589,-0.01,0.04,-0.01,0.04
0.599,0.00,0.03,-0.01,0.04
0.609,0.00,0.03,-0.01,0.04
0.619,-0.01,0.02,-0.01,0.03
0.629,-0.00,0.03,-0.01,0.04
0.639,-0.02,0.03,-0.02,0.04
0.649,0.01,0.03,-0.01,0.03
0.659,-0.03,0.03,-0.02,0.04
0.669,-0.03,0.02,-0.01,0.04
0.679,-0.02,0.03,-0.01,0.04
0.689,-0.02,0.03,-0.01,0.04
0.699,-0.01,0.04,-0.01,0.04
0.709,-0.01,0.02,-0.00,0.03
0.719,-0.02,0.03,-0.00,0.03
0.729,-0.01,0.03,-0.01,0.03
0.739,-0.02,0.03,-0.02,0.04
0.749,-0.02,0.03,-0.02,0.03
0.759,-0.00,0.04,-0.01,0.04
0.769,-0.01,0.02,-0.01,0.03
0.779,-0.02,0.03,-0.01,0.04
0.789,-0.01,0.03,-0.01,0.03
0.799,-0.01,0.04,-0.01,0.05
0.809,-0.03,0.04,-0.01,0.05
0.819,-0.02,0.04,-0.02,0.05
0.829,-0.03,0.04,-0.01,0.05
0.839,-0.01,0.04,-0.01,0.04
0.849,0.00,0.04,-0.01,0.04
0.859,-0.01,0.02,-0.03,0.04
0.869,-0.00,0.03,-0.01,0.03
0.879,-0.01,0.02,-0.01,0.03
0.889,-0.01,0.04,-0.01,0.04
0.899,-0.01,0.02,-0.02,0.03
0.909,-0.01,0.03,-0.01,0.04
0.919,-0.02,0.03,-0.02,0.03
0.929,-0.01,0.04,-0.02,0.05
0.939,0.01,0.05,-0.02,0.05
0.949,-0.02,0.04,-0.01,0.05
0.959,-0.01,0.03,-0.02,0.04
0.969,-0.00,0.03,-0.04,0.05
0.979,-0.00,0.04,-0.02,0.04
0.989,-0.03,0.03,-0.01,0.04
0.999,-0.01,0.03,-0.02,0.04
1.009,-0.01,0.02,-0.03,0.03
1.018,-0.01,0.04,-0.02,0.04
1.029,0.00,0.04,-0.02,0.05
1.039,0.02,0.02,0.01,0.03
1.049,0.01,0.01,-0.02,0.02
1.059,-0.00,0.02,-0.01,0.02
1.069,-0.03,0.01,-0.00,0.04
1.078,-0.03,0.03,-0.02,0.05
1.089,-0.03,0.03,-0.01,0.04
1.099,-0.03,0.02,-0.01,0.04
1.108,-0.02,0.03,-0.01,0.04
1.118,-0.02,-0.00,-0.01,0.02
1.128,-0.02,0.02,-0.00,0.03
1.138,0.01,0.03,-0.01,0.03
1.149,0.01,0.03,0.01,0.03
1.158,0.02,0.03,-0.01,0.04
1.168,0.01,0.04,-0.02,0.04
1.178,-0.01,0.04,-0.00,0.04
1.188,-0.01,0.04,-0.01,0.04
1.198,-0.02,0.03,-0.01,0.03
1.208,-0.03,0.03,-0.01,0.05
1.218,-0.03,0.03,-0.02,0.05
1.228,-0.02,0.03,-0.01,0.04
1.238,-0.02,0.03,-0.00,0.03
1.248,-0.02,0.03,-0.03,0.04
1.258,-0.03,0.04,-0.02,0.05
1.268,-0.01,0.05,-0.01,0.05
1.278,-0.01,0.02,-0.00,0.03
1.288,0.01,0.03,-0.02,0.04
1.298,-0.01,0.03,-0.02,0.04
1.308,0.02,0.02,-0.02,0.03
1.318,-0.00,0.02,-0.01,0.02
1.328,-0.01,0.02,-0.02,0.02
1.338,-0.02,0.02,0.00,0.02
1.348,-0.01,0.03,-0.01,0.03
1.358,-0.04,0.03,-0.02,0.06
1.368,-0.04,0.03,-0.01,0.05
1.378,-0.04,0.02,-0.02,0.05
1.388,-0.02,0.03,-0.01,0.04
1.398,-0.02,0.04,0.00,0.04
1.408,-0.01,0.03,-0.01,0.04
1.418,0.01,0.02,-0.01,0.03
1.428,-0.00,0.03,-0.00,0.03
1.438,-0.01,0.03,-0.01,0.03
1.448,-0.02,0.04,-0.02,0.05
1.458,-0.03,0.02,-0.02,0.04
1.468,-0.02,0.01,-0.01,0.03
1.478,-0.00,0.02,-0.02,0.03
1.488,-0.01,0.03,-0.01,0.03
1.498,-0.02,0.04,-0.00,0.04
1.508,-0.02,0.04,-0.02,0.04
1.518,-0.01,0.03,-0.02,0.03
1.528,-0.03,0.04,-0.00,0.05
1.538,-0.04,0.03,-0.01,0.05
1.548,-0.03,0.03,-0.01,0.05
1.558,-0.02,0.04,0.01,0.05
1.568,0.00,0.04,-0.02,0.05
1.578,0.01,0.04,-0.01,0.04
1.588,0.01,0.01,-0.01,0.02
1.598,0.01,0.03,-0.02,0.03
1.608,0.00,0.03,-0.01,0.03
1.618,0.00,0.03,-0.01,0.03
1.628,-0.03,0.03,-0.01,0.04
1.638,-0.03,0.03,-0.02,0.05
1.648,-0.04,0.03,-0.01,0.05
1.658,-0.04,0.04,0.00,0.06
1.668,-0.03,0.03,-0.02,0.05
1.678,-0.02,0.02,-0.02,0.03
1.688,0.00,0.03,-0.02,0.03
1.698,-0.00,0.03,-0.00,0.03
1.708,-0.01,0.03,-0.02,0.04
