time,ax,ay,az,atotal
0.000,-0.02,0.04,-0.02,0.04
0.010,-0.01,0.02,-0.02,0.03
0.020,-0.02,0.02,-0.00,0.03
0.030,-0.04,0.03,-0.00,0.05
0.040,-0.01,0.02,0.01,0.03
0.050,-0.02,0.03,-0.00,0.04
0.060,-0.03,0.02,-0.01,0.04
0.070,-0.03,0.02,-0.00,0.03
0.080,-0.03,0.02,-0.00,0.04
0.090,-0.03,0.02,-0.00,0.04
0.100,-0.03,0.02,-0.03,0.05
0.110,-0.03,0.02,-0.02,0.04
0.120,-0.02,0.02,-0.01,0.03
0.130,-0.03,0.03,-0.01,0.04
0.140,-0.03,0.03,-0.01,0.04
0.150,-0.01,0.01,0.00,0.01
0.160,-0.01,0.01,-0.01,0.01
0.170,-0.01,0.03,-0.02,0.03
0.180,-0.03,0.02,-0.02,0.04
0.190,-0.02,0.01,-0.00,0.02
0.200,-0.04,0.02,-0.00,0.04
0.210,-0.03,0.01,-0.01,0.04
0.220,-0.01,0.01,-0.03,0.03
0.230,-0.02,0.02,-0.01,0.03
0.240,-0.02,0.03,0.00,0.04
0.250,-0.01,0.02,-0.02,0.03
0.259,-0.03,0.03,0.01,0.04
0.270,-0.03,0.02,-0.01,0.04
0.280,-0.04,0.01,-0.03,0.05
0.290,-0.02,0.01,-0.02,0.03
0.299,-0.01,0.01,-0.01,0.02
0.310,-0.01,0.02,0.00,0.02
0.320,-0.01,0.02,-0.02,0.03
0.330,-0.00,0.01,-0.02,0.02
0.339,-0.02,0.02,-0.01,0.03
0.349,-0.02,0.02,-0.02,0.03
0.359,-0.00,0.02,-0.01,0.02
0.369,-0.01,0.04,-0.00,0.04
0.379,-0.02,0.01,-0.00,0.02
0.389,-0.03,0.02,-0.02,0.04
0.399,-0.03,0.02,-0.01,0.04
0.409,-0.02,0.01,0.00,0.02
0.419,-0.02,0.01,-0.02,0.03
0.429,-0.03,0.03,-0.01,0.04
0.439,-0.01,0.03,-0.02,0.03
0.449,-0.01,0.02,-0.01,0.02
0.459,0.01,0.02,-0.00,0.02
0.469,0.01,0.01,-0.02,0.02
0.479,-0.00,0.02,-0.00,0.02
0.489,-0.02,0.02,-0.01,0.03
0.499,-0.01,0.02,-0.00,0.02
0.509,-0.03,0.02,-0.02,0.04
0.519,-0.03,0.03,-0.01,0.04
0.529,-0.03,0.04,-0.02,0.05
0.539,0.00,0.05,-0.02,0.05
0.549,-0.02,0.03,-0.03,0.05
0.559,-0.03,0.02,-0.01,0.03
0.569,-0.05,0.01,-0.00,0.05
0.579,-0.00,0.01,-0.00,0.01
0.589,0.00,0.01,-0.01,0.02
0.599,-0.01,0.03,-0.01,0.04
0.609,-0.02,0.04,-0.01,0.05
0.619,-0.01,0.02,-0.02,0.03
0.629,-0.02,0.01,-0.03,0.04
0.639,-0.01,0.01,-0.00,0.02
0.649,-0.02,0.01,-0.01,0.02
0.659,-0.01,0.03,-0.01,0.03
0.669,-0.03,0.02,-0.01,0.04
0.679,-0.04,0.02,-0.00,0.04
0.689,-0.04,0.03,-0.01,0.05
0.699,-0.04,0.02,-0.01,0.05
0.709,-0.04,0.02,-0.00,0.04
0.719,-0.01,0.02,0.01,0.03
0.729,0.01,0.02,0.00,0.02
0.739,0.01,0.00,-0.01,0.01
0.749,0.00,0.01,-0.01,0.02
0.759,0.02,0.02,-0.02,0.03
0.769,-0.02,0.01,0.00,0.03
0.779,-0.02,0.01,-0.02,0.03
0.789,-0.02,0.01,-0.02,0.03
0.799,-0.05,0.01,-0.02,0.05
0.809,-0.03,0.01,-0.01,0.03
0.819,-0.03,0.02,-0.01,0.04
0.829,-0.04,0.02,-0.01,0.04
0.839,-0.04,0.02,-0.02,0.05
0.849,-0.02,0.02,-0.01,0.03
0.859,-0.02,0.02,-0.01,0.03
0.869,-0.02,0.01,-0.01,0.03
0.879,-0.01,0.02,-0.00,0.02
0.889,-0.01,0.02,-0.01,0.02
0.899,-0.01,0.01,-0.00,0.02
0.909,-0.02,0.02,-0.01,0.03
0.919,0.02,0.03,-0.02,0.04
0.929,-0.04,0.02,-0.02,0.05
0.938,-0.05,0.04,-0.01,0.07
0.949,-0.06,0.03,-0.03,0.07
0.958,-0.02,0.02,-0.02,0.03
0.969,-0.04,0.02,0.01,0.05
0.979,-0.01,0.02,-0.00,0.02
0.989,-0.01,0.02,-0.01,0.02
0.999,0.01,0.02,-0.01,0.02
1.008,-0.01,0.01,-0.01,0.01
1.018,0.00,0.00,-0.01,0.01
1.028,-0.02,0.01,-0.02,0.03
1.038,-0.05,0.03,-0.00,0.06
1.048,-0.04,0.03,-0.01,0.05
1.058,-0.04,0.03,-0.02,0.05
1.068,-0.03,0.03,-0.01,0.04
1.078,-0.01,0.00,-0.02,0.02
1.088,-0.02,0.01,-0.01,0.02
1.098,-0.01,0.00,0.00,0.01
1.108,-0.00,0.01,0.00,0.01
1.118,-0.02,0.01,-0.01,0.02
1.128,-0.01,0.02,-0.01,0.03
1.138,-0.01,0.03,-0.00,0.03
1.148,-0.00,0.02,-0.00,0.02
1.158,-0.03,0.02,-0.00,0.04
1.168,-0.02,0.00,-0.01,0.02
1.178,-0.03,0.02,-0.01,0.04
1.188,-0.01,0.03,-0.00,0.03
1.198,-0.02,0.03,-0.00,0.04
1.208,-0.02,0.02,-0.00,0.03
1.218,-0.02,0.02,-0.00,0.03
1.228,-0.02,-0.00,-0.01,0.02
1.238,-0.03,0.01,-0.02,0.04
1.248,-0.03,0.02,-0.02,0.04
1.258,-0.01,0.02,-0.01,0.03
1.268,-0.00,0.01,-0.01,0.02
1.278,-0.01,0.02,-0.02,0.02
1.288,0.01,0.03,-0.00,0.03
1.298,-0.01,0.01,-0.01,0.01
1.308,-0.01,0.02,-0.02,0.03
1.318,-0.01,0.01,-0.00,0.02
1.328,-0.01,0.02,-0.01,0.03
1.338,-0.03,0.02,-0.01,0.04
1.348,-0.02,0.02,-0.01,0.03
1.358,-0.04,0.02,-0.00,0.04
1.368,-0.02,0.02,-0.00,0.03
1.378,0.00,0.02,-0.02,0.03
1.388,-0.01,0.01,-0.01,0.02
1.398,-0.01,0.02,-0.00,0.03
1.408,-0.03,0.01,0.00,0.03
1.418,-0.02,0.02,0.00,0.03
1.428,-0.03,0.02,-0.02,0.04
1.438,-0.02,0.03,-0.02,0.05
1.448,-0.04,0.03,-0.01,0.05
1.458,-0.01,0.02,-0.01,0.03
1.468,-0.02,0.01,-0.01,0.03
1.478,-0.01,0.01,-0.00,0.02
1.488,0.01,0.02,0.00,0.02
1.498,-0.02,0.02,-0.01,0.03
1.508,-0.01,0.03,-0.00,0.03
1.518,0.00,0.02,-0.01,0.02
1.528,-0.02,0.02,-0.02,0.03
1.538,-0.01,0.01,-0.01,0.02
1.548,-0.01,0.04,-0.01,0.04
1.558,-0.03,0.02,-0.01,0.04
1.568,-0.04,0.01,-0.01,0.04
1.578,-0.02,-0.00,-0.01,0.02
1.588,-0.01,0.01,-0.01,0.02
1.597,0.00,0.02,-0.01,0.02
1.608,-0.02,0.02,-0.01,0.03
1.618,-0.02,0.02,-0.00,0.03
1.628,-0.00,0.02,-0.02,0.03
