time,ax,ay,az,atotal
0.000,0.01,0.01,0.00,0.01
0.010,0.00,-0.01,0.01,0.01
0.020,0.00,0.01,-0.00,0.01
0.030,0.01,-0.00,0.01,0.01
0.040,0.01,-0.00,0.02,0.02
0.050,0.01,-0.01,0.01,0.02
0.060,-0.00,-0.00,0.02,0.02
0.070,-0.01,0.00,0.01,0.02
0.080,-0.02,0.01,0.01,0.02
0.090,-0.01,0.01,0.01,0.02
0.100,-0.01,0.00,0.00,0.01
0.110,0.02,0.01,0.01,0.02
0.120,-0.02,0.00,0.00,0.02
0.130,0.00,0.00,0.01,0.01
0.140,0.01,0.00,0.02,0.03
0.150,0.01,-0.00,-0.00,0.01
0.160,0.00,0.01,0.01,0.01
0.170,0.02,0.00,0.01,0.02
0.180,-0.00,0.00,0.00,0.01
0.190,-0.02,0.01,0.01,0.02
0.200,-0.00,-0.01,-0.01,0.01
0.210,-0.01,-0.00,-0.00,0.01
0.220,-0.01,-0.01,0.01,0.01
0.229,-0.00,0.00,0.01,0.01
0.240,0.01,-0.00,0.02,0.02
0.250,-0.01,0.01,0.01,0.02
0.260,-0.00,0.01,0.00,0.01
0.269,-0.00,-0.00,0.02,0.02
0.279,-0.01,0.01,0.00,0.02
0.289,-0.00,0.02,0.00,0.02
0.299,-0.00,0.00,-0.00,0.01
0.309,0.00,0.01,0.01,0.02
0.319,-0.00,0.02,0.02,0.02
0.329,-0.01,0.01,0.02,0.02
0.339,-0.01,0.01,0.01,0.02
0.349,-0.00,-0.00,0.01,0.01
0.359,-0.00,0.02,0.02,0.03
0.369,0.01,-0.01,0.00,0.01
0.379,0.00,0.00,0.00,0.00
0.389,0.01,0.01,0.01,0.01
0.399,0.00,-0.00,0.01,0.01
0.409,0.00,-0.02,0.01,0.02
0.419,-0.00,-0.01,0.00,0.01
0.429,0.00,0.00,0.01,0.01
0.439,-0.01,0.01,0.00,0.01
0.449,0.00,0.00,0.01,0.01
0.459,0.01,-0.00,0.01,0.01
0.469,0.01,0.01,0.01,0.01
0.479,-0.01,0.00,0.02,0.02
0.489,0.00,0.02,0.01,0.02
0.499,0.00,0.02,-0.00,0.02
0.509,0.01,0.01,-0.01,0.01
0.519,-0.01,0.01,-0.00,0.01
0.529,-0.01,0.01,0.01,0.01
0.539,0.01,0.01,0.02,0.02
0.549,-0.01,0.02,0.01,0.03
0.559,0.00,0.01,0.02,0.02
0.569,-0.01,0.01,0.01,0.02
0.579,-0.01,0.01,0.02,0.02
0.589,0.00,0.01,0.01,0.02
0.599,0.01,0.00,0.01,0.02
0.609,0.01,0.01,0.01,0.01
0.619,0.00,-0.01,-0.00,0.01
0.629,0.01,-0.00,0.01,0.01
0.639,0.01,-0.00,0.02,0.02
0.649,0.02,0.01,-0.00,0.02
0.659,0.01,0.01,0.00,0.01
0.669,0.01,0.00,0.00,0.01
0.679,-0.01,0.02,-0.00,0.02
0.689,-0.02,0.00,0.02,0.03
0.699,-0.02,0.01,0.02,0.03
0.709,-0.01,0.00,-0.00,0.01
0.719,-0.01,0.01,-0.00,0.01
0.729,-0.01,-0.01,0.01,0.02
0.739,0.01,0.01,0.01,0.02
0.749,-0.00,-0.01,0.01,0.02
0.759,0.02,0.02,0.01,0.03
0.769,0.01,0.01,0.01,0.02
0.779,0.02,0.01,0.00,0.02
0.789,0.00,0.01,0.01,0.01
0.799,-0.01,0.01,0.01,0.02
0.809,0.01,0.00,0.01,0.01
0.818,-0.01,0.01,0.01,0.02
0.829,-0.00,0.00,0.01,0.01
0.839,0.00,0.00,0.02,0.02
0.848,0.01,-0.00,0.01,0.01
0.859,0.01,0.00,0.01,0.01
0.868,0.02,0.01,0.01,0.02
0.878,-0.01,0.01,0.01,0.02
0.888,-0.00,0.01,0.00,0.01
0.898,-0.02,0.01,0.01,0.02
0.908,0.00,0.00,0.02,0.02
0.918,-0.01,-0.05,-0.09,0.11
0.928,-0.00,0.22,0.12,0.25
0.938,0.06,-0.16,-0.01,0.17
0.948,-0.06,0.08,0.02,0.10
0.958,0.00,-0.05,-0.01,0.05
0.968,0.07,0.01,0.02,0.07
0.978,0.02,0.02,0.02,0.03
0.988,-0.06,-0.06,0.01,0.08
0.998,0.13,0.01,-0.01,0.13
1.008,-0.06,0.02,-0.01,0.07
1.018,-0.01,0.03,0.02,0.04
1.028,0.00,0.05,0.02,0.06
1.038,-0.02,0.00,0.00,0.02
1.048,-0.10,0.02,0.02,0.10
1.058,0.03,-0.06,-0.00,0.06
1.068,-0.00,0.02,-0.01,0.02
1.078,-0.02,0.01,0.01,0.02
1.088,-0.01,0.01,0.01,0.01
1.098,0.04,-0.02,0.03,0.05
1.108,0.02,-0.02,0.01,0.03
1.118,-0.01,-0.04,0.02,0.04
1.128,0.00,-0.01,0.00,0.01
1.138,-0.01,-0.01,-0.01,0.01
1.148,0.02,0.04,-0.00,0.04
1.158,-0.03,0.00,0.00,0.03
1.168,-0.01,0.02,0.01,0.02
1.178,-0.05,-0.01,0.02,0.05
1.188,-0.00,-0.00,0.01,0.01
1.198,0.00,0.01,0.00,0.01
1.208,0.03,0.00,-0.00,0.03
1.218,0.01,0.02,0.01,0.02
1.228,0.01,0.02,0.01,0.03
1.238,-0.02,0.01,-0.00,0.02
1.248,0.00,-0.00,0.02,0.02
1.258,-0.01,-0.01,0.02,0.03
1.268,0.00,-0.02,0.02,0.03
1.278,0.02,0.01,0.01,0.03
1.288,0.02,0.01,-0.01,0.03
1.298,0.01,0.01,0.01,0.02
1.308,0.01,0.01,0.01,0.02
1.318,0.02,0.00,0.03,0.03
1.328,0.03,-0.03,0.01,0.04
1.338,0.05,-0.00,0.00,0.05
1.347,0.02,0.00,0.01,0.02
1.358,0.06,0.03,-0.00,0.07
1.367,0.03,0.02,-0.01,0.04
1.378,-0.01,0.02,0.00,0.02
1.387,-0.01,0.01,0.01,0.02
1.397,-0.02,-0.00,0.02,0.03
1.407,-0.06,-0.01,0.00,0.06
1.418,-0.04,-0.00,0.00,0.04
1.427,-0.01,0.01,-0.02,0.03
1.437,-0.03,0.02,-0.00,0.04
1.447,-0.03,0.00,0.01,0.03
1.457,0.02,0.00,0.01,0.02
1.467,0.01,-0.02,-0.00,0.02
1.477,0.03,-0.02,0.02,0.04
1.487,0.02,-0.01,0.01,0.02
1.497,0.01,0.01,-0.01,0.02
1.507,-0.01,0.02,-0.01,0.02
1.517,-0.01,0.02,0.00,0.02
1.527,-0.02,0.01,0.01,0.02
1.537,-0.03,0.02,0.01,0.03
1.547,-0.03,-0.01,0.02,0.04
1.557,-0.03,0.01,0.01,0.03
1.567,-0.02,0.02,0.00,0.03
1.577,-0.01,0.01,-0.01,0.02
1.587,-0.02,-0.00,0.00,0.02
1.597,-0.01,0.01,0.02,0.03
1.607,-0.01,0.00,0.02,0.02
1.617,0.01,0.01,0.01,0.02
1.627,-0.00,0.01,0.00,0.01
1.637,-0.01,-0.00,0.02,0.02
1.647,-0.00,-0.00,0.02,0.02
1.657,-0.00,0.01,0.01,0.01
1.667,-0.01,-0.01,0.01,0.02
1.677,-0.00,-0.01,0.02,0.03
1.687,0.00,0.00,0.01,0.01
1.697,0.01,0.01,0.01,0.02
1.707,0.02,0.01,-0.01,0.03
1.717,0.03,0.02,0.00,0.04
1.727,0.03,0.01,0.01,0.04
1.737,0.01,0.00,0.02,0.02
1.747,0.01,-0.01,0.01,0.02
1.757,-0.01,-0.01,0.01,0.01
1.767,-0.02,-0.00,0.01,0.03
1.777,-0.01,0.01,-0.01,0.02
1.787,-0.03,0.01,-0.01,0.04
1.797,-0.02,0.02,0.01,0.02
1.807,-0.01,-0.02,0.01,0.03
1.817,-0.03,-0.01,0.03,0.04
1.827,0.01,-0.00,0.01,0.02
1.837,0.02,-0.01,-0.01,0.03
1.847,0.04,0.02,0.00,0.04
1.857,0.04,0.01,-0.01,0.04
1.867,0.03,-0.01,-0.01,0.03
1.877,-0.01,0.00,0.01,0.01
1.886,-0.03,-0.00,0.03,0.04
1.896,-0.05,-0.02,0.01,0.06
1.907,-0.03,0.00,-0.01,0.04
1.917,-0.02,0.02,-0.01,0.03
1.927,-0.02,0.01,-0.01,0.02
1.937,0.00,0.01,-0.00,0.01
1.946,0.01,-0.00,0.01,0.02
1.956,0.02,-0.02,0.01,0.03
1.966,0.01,-0.01,0.01,0.02
1.976,0.01,0.00,0.00,0.01
1.986,0.00,0.00,0.03,0.03
1.996,-0.01,0.02,0.01,0.03
2.006,-0.04,-0.00,0.00,0.04
2.016,-0.08,0.01,-0.00,0.08
2.026,-0.05,0.04,0.00,0.06
2.036,0.00,0.03,-0.01,0.03
2.046,-0.00,0.00,-0.02,0.02
2.057,0.01,0.00,0.01,0.01
2.066,0.05,-0.02,0.00,0.05
2.076,0.04,-0.02,0.02,0.05
2.086,0.04,0.00,0.03,0.05
2.096,0.04,0.00,0.01,0.04
2.106,0.03,-0.01,0.02,0.04
2.116,0.02,-0.00,0.01,0.03
2.126,0.00,0.00,-0.01,0.02
2.136,-0.03,0.00,0.00,0.03
2.146,0.01,-0.01,0.02,0.02
2.156,-0.01,-0.01,0.01,0.02
2.166,-0.00,-0.01,0.02,0.02
2.176,0.01,0.01,0.01,0.02
2.186,0.02,0.01,-0.00,0.02
2.196,0.01,0.01,0.01,0.02
2.206,0.03,-0.00,0.01,0.03
2.216,0.02,0.01,0.01,0.02
2.226,0.01,-0.00,0.02,0.02
2.236,0.02,0.01,0.01,0.02
2.246,-0.02,0.02,0.01,0.03
2.256,0.02,0.03,0.01,0.04
2.266,-0.01,0.01,0.01,0.01
2.276,0.01,0.00,0.01,0.01
2.286,0.01,-0.00,-0.00,0.01
2.296,0.01,0.00,-0.01,0.01
2.306,-0.00,0.01,0.02,0.02
2.316,-0.00,-0.00,0.00,0.00
2.326,-0.02,0.00,-0.00,0.02
2.336,-0.02,0.00,0.00,0.02
2.346,-0.01,-0.01,-0.00,0.01
2.356,-0.02,0.01,0.01,0.02
2.366,-0.03,0.01,0.00,0.03
2.376,-0.03,-0.00,0.00,0.03
2.386,-0.01,-0.00,0.02,0.02
2.396,-0.01,-0.01,0.00,0.01
2.406,-0.01,0.00,-0.00,0.01
2.416,-0.00,-0.00,-0.01,0.01
2.426,0.02,0.01,-0.01,0.03
2.436,0.03,0.01,-0.00,0.03
2.445,0.01,0.02,0.01,0.03
2.456,-0.02,0.03,-0.01,0.03
2.465,-0.01,0.00,-0.00,0.01
2.476,-0.01,-0.00,-0.00,0.01
2.485,-0.01,-0.00,0.00,0.01
2.495,-0.02,0.00,0.00,0.02
2.505,-0.01,0.01,0.02,0.02
2.515,0.02,0.02,0.01,0.03
2.525,0.01,0.02,0.01,0.02
2.535,0.02,0.01,0.01,0.02
2.545,0.03,-0.01,0.02,0.04
2.555,0.04,-0.00,0.02,0.05
2.565,0.00,-0.01,0.01,0.02
2.575,0.01,-0.00,0.02,0.02
2.585,0.01,0.00,0.02,0.02
2.595,0.01,0.00,0.01,0.01
2.605,-0.01,-0.01,0.00,0.02
2.615,0.02,-0.00,0.01,0.02
2.625,-0.00,-0.00,0.01,0.01
2.635,0.02,-0.01,0.00,0.02
2.645,0.02,-0.01,0.01,0.02
2.655,0.03,0.01,0.00,0.03
2.665,0.02,0.00,0.01,0.02
2.675,0.03,0.01,0.01,0.03
2.685,0.02,0.03,0.01,0.03
2.695,0.01,0.01,0.01,0.02
2.705,0.00,0.01,-0.00,0.01
2.715,0.00,0.01,0.01,0.01
2.725,-0.01,0.03,0.02,0.03
2.735,0.00,-0.00,0.01,0.01
2.745,-0.01,0.00,0.00,0.01
2.755,-0.01,0.01,0.01,0.01
2.765,0.00,0.01,0.01,0.02
2.775,-0.02,-0.01,-0.00,0.02
2.785,-0.02,0.00,-0.00,0.02
2.795,-0.02,-0.00,-0.01,0.02
2.805,-0.02,0.00,-0.00,0.02
2.815,-0.00,0.00,0.01,0.01
2.825,0.00,-0.00,0.01,0.01
2.835,-0.00,-0.00,0.01,0.01
2.845,-0.01,0.01,-0.00,0.01
2.855,0.00,-0.00,0.01,0.01
2.865,-0.00,0.01,0.00,0.01
2.875,0.00,0.02,0.02,0.03
2.885,0.00,0.02,0.01,0.02
2.895,-0.01,0.02,0.01,0.02
2.905,-0.01,0.01,0.03,0.03
2.915,-0.01,0.01,0.03,0.03
2.925,0.01,0.00,0.01,0.02
2.935,0.00,0.01,0.00,0.01
2.945,-0.02,0.00,-0.00,0.02
2.955,0.02,0.00,0.00,0.02
2.964,-0.01,-0.00,0.02,0.02
2.975,0.00,0.01,0.01,0.02
