time,ax,ay,az,atotal
0.000,-0.03,0.00,-0.00,0.03
0.010,-0.03,0.01,-0.01,0.03
0.020,-0.01,0.01,-0.01,0.02
0.030,-0.02,0.01,-0.01,0.03
0.040,-0.03,0.00,-0.01,0.03
0.050,-0.03,0.01,-0.02,0.04
0.060,-0.03,0.01,-0.02,0.03
0.070,-0.03,0.01,-0.02,0.04
0.080,-0.02,0.00,-0.01,0.02
0.090,-0.02,0.01,-0.02,0.03
0.100,-0.02,0.02,-0.03,0.04
0.110,-0.02,0.02,-0.01,0.03
0.120,-0.02,0.02,-0.01,0.03
0.130,-0.03,0.00,-0.02,0.03
0.140,-0.02,0.01,-0.01,0.03
0.150,-0.02,0.02,-0.02,0.03
0.159,-0.02,0.02,-0.03,0.05
0.169,-0.04,0.02,-0.01,0.04
0.179,-0.02,0.01,-0.01,0.03
0.189,-0.02,0.02,-0.01,0.03
0.199,-0.03,0.01,-0.01,0.03
0.209,-0.04,0.01,-0.02,0.04
0.219,-0.02,0.01,-0.01,0.02
0.229,-0.03,0.01,-0.02,0.04
0.239,-0.02,0.01,-0.02,0.03
0.249,-0.03,0.02,-0.02,0.04
0.259,-0.04,0.01,0.01,0.04
0.269,-0.03,0.01,-0.01,0.03
0.279,-0.04,0.02,-0.02,0.05
0.289,-0.03,0.02,-0.00,0.04
0.299,-0.04,0.01,-0.01,0.04
0.309,-0.04,-0.00,-0.03,0.05
0.319,-0.02,0.03,-0.00,0.04
0.329,-0.03,0.01,0.01,0.03
0.339,-0.02,0.01,-0.01,0.03
0.349,-0.05,0.02,-0.02,0.06
0.359,-0.03,0.02,-0.01,0.04
0.369,-0.04,0.01,-0.03,0.05
0.379,-0.03,0.02,-0.02,0.04
0.389,-0.03,0.02,-0.01,0.04
0.399,-0.04,0.03,-0.01,0.05
0.409,-0.02,0.01,-0.02,0.03
0.419,-0.02,0.01,-0.02,0.03
0.429,-0.02,0.02,-0.03,0.04
0.439,-0.03,0.00,-0.02,0.03
0.449,-0.03,0.02,-0.02,0.04
0.459,-0.03,0.01,-0.01,0.03
0.469,-0.04,0.01,-0.02,0.04
0.478,-0.04,0.02,-0.02,0.04
0.489,-0.03,0.01,-0.02,0.03
0.498,-0.04,0.01,-0.02,0.04
0.508,-0.03,0.01,-0.02,0.04
0.518,-0.03,0.02,0.00,0.04
0.528,-0.03,0.01,-0.01,0.04
0.538,-0.02,0.01,-0.00,0.02
0.548,-0.04,0.01,-0.02,0.04
0.558,-0.03,0.01,-0.01,0.03
0.568,-0.03,0.02,-0.03,0.04
0.578,-0.02,0.02,-0.01,0.02
0.588,-0.04,-0.00,-0.02,0.04
0.598,-0.02,0.00,-0.02,0.03
0.608,-0.02,0.02,-0.02,0.04
0.618,-0.03,0.02,-0.02,0.04
0.628,-0.02,0.03,-0.03,0.04
0.638,-0.04,0.02,-0.01,0.04
0.648,-0.03,0.01,0.01,0.03
0.658,-0.04,0.01,-0.02,0.04
0.668,-0.02,0.00,-0.02,0.03
0.678,-0.02,0.02,-0.02,0.03
0.688,-0.03,0.00,-0.02,0.03
0.698,-0.04,0.01,-0.00,0.04
0.708,-0.03,0.02,-0.02,0.04
0.718,-0.04,0.02,-0.03,0.05
0.728,-0.03,0.00,-0.02,0.04
0.738,-0.04,0.02,-0.03,0.06
0.748,-0.03,0.02,-0.03,0.04
0.758,-0.04,0.01,-0.01,0.05
0.768,-0.02,0.01,-0.01,0.02
0.777,-0.05,0.01,-0.01,0.05
0.787,-0.01,0.02,-0.02,0.03
0.797,-0.02,0.01,-0.01,0.03
0.807,-0.03,0.01,-0.02,0.03
0.817,-0.04,0.01,-0.02,0.05
0.827,-0.04,-0.00,-0.02,0.04
0.837,-0.05,0.00,-0.01,0.05
0.847,-0.05,0.03,-0.01,0.06
0.857,-0.02,0.01,-0.01,0.03
0.867,-0.04,0.02,-0.01,0.04
0.877,-0.04,0.01,-0.03,0.05
0.887,-0.02,0.01,-0.01,0.02
0.897,-0.04,-0.00,-0.02,0.04
0.907,-0.04,-0.02,-0.01,0.04
0.917,-0.02,0.02,-0.00,0.02
0.927,-0.01,0.02,-0.02,0.03
0.937,-0.05,0.01,-0.02,0.05
0.947,-0.02,0.01,-0.01,0.02
0.957,-0.02,0.01,-0.03,0.04
0.967,-0.01,0.01,-0.02,0.03
0.977,-0.03,-0.01,-0.01,0.04
0.987,-0.02,0.00,-0.01,0.03
0.997,-0.03,0.01,-0.01,0.03
1.007,-0.03,0.01,-0.01,0.04
1.017,-0.01,0.02,-0.02,0.03
1.027,-0.04,0.02,-0.03,0.06
1.037,-0.02,0.03,-0.03,0.05
1.047,-0.02,0.02,-0.01,0.03
1.057,-0.02,0.01,-0.01,0.03
1.067,-0.03,0.02,-0.01,0.04
1.077,-0.02,-0.01,0.00,0.02
1.087,-0.05,0.01,-0.02,0.05
1.096,-0.03,0.01,-0.02,0.03
1.106,-0.04,0.00,-0.02,0.04
1.116,-0.03,0.01,-0.01,0.04
1.126,-0.04,0.01,-0.01,0.04
1.136,-0.03,0.03,-0.01,0.05
1.146,-0.04,0.01,-0.00,0.04
1.156,-0.02,0.00,-0.02,0.02
1.166,-0.03,-0.01,-0.02,0.04
1.176,-0.00,0.01,-0.02,0.03
1.186,-0.02,0.02,-0.02,0.03
1.196,-0.02,0.01,-0.03,0.03
1.206,-0.03,0.01,-0.00,0.03
1.216,-0.03,0.00,-0.02,0.04
1.226,-0.04,0.01,0.00,0.05
1.236,-0.03,0.00,-0.02,0.04
1.246,-0.04,-0.00,-0.03,0.05
1.256,-0.03,0.01,-0.01,0.04
1.266,-0.03,-0.00,-0.02,0.04
1.276,-0.04,0.01,-0.02,0.04
1.286,-0.03,0.02,-0.01,0.04
1.296,-0.02,-0.00,-0.03,0.04
1.306,-0.02,0.03,-0.01,0.04
1.316,-0.01,0.01,-0.00,0.02
1.326,-0.02,0.02,-0.03,0.04
1.336,-0.01,0.01,-0.02,0.02
1.346,-0.02,0.01,-0.02,0.03
1.356,-0.01,-0.01,-0.01,0.02
1.366,-0.05,0.00,-0.02,0.05
1.376,-0.01,0.01,-0.02,0.02
1.386,-0.01,0.01,-0.02,0.03
1.396,-0.02,0.00,-0.03,0.04
1.406,-0.00,0.02,-0.02,0.03
1.416,-0.01,0.01,-0.01,0.02
1.426,-0.02,0.01,-0.01,0.03
1.435,-0.04,0.00,-0.01,0.04
1.445,-0.01,-0.00,-0.03,0.03
1.455,-0.03,-0.00,-0.01,0.03
1.465,-0.04,0.01,-0.03,0.05
1.475,-0.05,-0.00,-0.03,0.06
1.485,-0.06,0.02,-0.03,0.07
1.495,-0.03,0.02,-0.03,0.05
1.505,-0.03,0.00,-0.02,0.04
1.515,-0.04,-0.00,-0.00,0.04
1.525,-0.04,-0.00,-0.01,0.04
1.535,-0.02,0.00,0.00,0.02
1.545,-0.03,0.01,0.00,0.03
1.555,-0.01,0.03,-0.03,0.04
1.565,-0.02,0.02,-0.02,0.04
1.575,-0.01,0.03,-0.02,0.03
1.585,-0.00,0.00,-0.01,0.01
1.595,-0.03,-0.00,0.00,0.03
1.605,-0.01,0.01,-0.00,0.02
1.615,-0.03,0.01,-0.01,0.03
1.625,-0.03,0.02,-0.02,0.03
1.635,-0.03,0.03,-0.02,0.05
1.645,-0.03,0.02,-0.02,0.04
1.655,-0.07,0.00,-0.02,0.08
1.665,-0.05,0.00,0.01,0.05
1.675,-0.05,-0.01,-0.01,0.05
1.685,-0.04,-0.00,-0.01,0.04
