time,ax,ay,az,atotal
0.000,-0.02,-0.00,-0.03,0.03
0.010,-0.02,-0.02,-0.01,0.03
0.020,-0.02,0.00,-0.01,0.02
0.030,-0.01,-0.01,-0.01,0.02
0.040,-0.02,-0.02,-0.00,0.03
0.050,-0.02,-0.00,-0.02,0.03
0.060,-0.00,0.01,-0.01,0.02
0.070,-0.01,-0.01,-0.02,0.02
0.080,-0.01,0.01,-0.01,0.01
0.090,-0.01,-0.00,-0.00,0.01
0.100,-0.00,-0.01,-0.00,0.01
0.110,-0.03,-0.02,-0.01,0.03
0.120,-0.01,0.01,-0.02,0.02
0.130,-0.02,0.01,-0.01,0.02
0.140,-0.00,0.00,-0.01,0.01
0.150,-0.02,-0.00,-0.01,0.03
0.160,-0.03,0.01,-0.02,0.04
0.170,-0.03,-0.00,-0.01,0.03
0.180,-0.02,-0.00,-0.01,0.02
0.190,-0.01,0.01,-0.01,0.02
0.200,-0.00,0.00,-0.02,0.02
0.210,-0.02,-0.02,-0.01,0.03
0.220,-0.03,0.00,-0.01,0.03
0.229,-0.02,-0.01,-0.00,0.03
0.239,-0.02,-0.02,-0.01,0.03
0.250,-0.01,-0.01,-0.01,0.01
0.260,-0.01,0.01,-0.02,0.02
0.270,-0.01,0.00,-0.01,0.02
0.280,-0.02,-0.00,-0.02,0.03
0.290,-0.02,-0.01,-0.00,0.02
0.300,-0.01,-0.01,-0.01,0.02
0.310,-0.03,0.01,-0.01,0.03
0.319,-0.02,-0.01,-0.01,0.02
0.329,-0.01,-0.03,-0.02,0.03
0.339,-0.03,-0.00,0.00,0.03
0.349,-0.02,-0.01,-0.01,0.02
0.359,-0.01,-0.01,-0.01,0.01
0.369,0.01,0.00,-0.01,0.01
0.379,-0.02,0.00,-0.01,0.02
0.389,-0.02,-0.00,-0.03,0.03
0.399,-0.02,0.00,-0.01,0.03
0.409,-0.03,0.00,0.00,0.03
0.419,-0.03,-0.00,-0.01,0.03
0.429,-0.01,-0.00,-0.02,0.02
0.439,-0.00,-0.00,-0.01,0.01
0.449,-0.02,0.01,-0.01,0.02
0.459,-0.01,0.00,-0.00,0.02
0.469,-0.02,-0.00,-0.02,0.03
0.479,-0.02,-0.00,-0.01,0.02
0.489,-0.02,0.01,-0.02,0.02
0.499,-0.03,0.00,-0.03,0.04
0.509,-0.02,-0.02,-0.02,0.03
0.519,-0.01,-0.01,-0.01,0.02
0.529,-0.02,-0.01,-0.02,0.03
0.539,-0.01,-0.02,-0.02,0.03
0.549,-0.01,-0.01,-0.01,0.02
0.559,-0.01,-0.00,-0.01,0.02
0.569,0.01,0.00,-0.02,0.02
0.579,-0.01,-0.01,-0.01,0.01
0.589,-0.00,-0.01,-0.02,0.02
0.599,-0.01,-0.02,-0.02,0.03
0.609,-0.00,-0.01,-0.01,0.02
0.619,-0.02,-0.01,-0.03,0.03
0.629,-0.01,-0.01,-0.01,0.02
0.639,-0.03,-0.00,-0.00,0.03
0.649,-0.01,0.01,-0.01,0.02
0.659,-0.01,-0.01,-0.00,0.01
0.669,-0.01,0.00,-0.01,0.01
0.679,-0.01,0.01,0.00,0.01
0.689,-0.02,0.01,-0.02,0.03
0.699,-0.01,-0.01,-0.02,0.03
0.709,-0.00,-0.01,-0.00,0.01
0.719,-0.00,-0.01,-0.01,0.02
0.729,-0.01,-0.01,-0.01,0.02
0.739,-0.02,-0.01,-0.02,0.03
0.749,-0.02,0.00,-0.01,0.02
0.759,-0.00,-0.01,-0.01,0.02
0.769,-0.01,-0.02,-0.00,0.02
0.779,-0.01,-0.01,-0.02,0.02
0.789,-0.02,-0.01,-0.02,0.03
0.799,-0.02,-0.01,-0.01,0.03
0.809,-0.03,-0.01,-0.01,0.03
0.819,-0.02,-0.01,-0.01,0.03
0.829,-0.01,-0.01,-0.01,0.01
0.839,-0.01,0.01,0.00,0.01
0.849,-0.03,-0.00,-0.03,0.04
0.859,-0.03,-0.01,-0.01,0.03
0.869,-0.00,-0.01,0.00,0.01
0.879,0.01,-0.00,-0.00,0.01
0.889,-0.01,-0.01,-0.01,0.02
0.899,0.00,0.00,-0.00,0.00
0.909,0.01,0.00,-0.01,0.02
0.919,-0.01,-0.01,-0.02,0.02
0.928,-0.02,-0.01,-0.01,0.02
0.939,-0.01,-0.01,-0.02,0.02
0.949,-0.03,0.04,0.10,0.11
0.958,-0.01,-0.12,-0.19,0.23
0.969,0.02,0.05,0.08,0.09
0.978,-0.23,0.06,-0.04,0.24
0.988,0.18,-0.12,0.01,0.21
0.998,0.09,0.01,0.04,0.10
1.008,-0.13,-0.06,-0.10,0.17
1.018,-0.16,0.03,0.06,0.17
1.028,0.03,-0.06,-0.08,0.10
1.038,0.13,-0.02,0.01,0.13
1.048,-0.15,0.01,-0.01,0.15
1.058,-0.10,-0.00,0.04,0.11
1.068,-0.05,0.04,-0.01,0.06
1.078,0.11,0.01,-0.04,0.12
1.088,-0.13,0.06,-0.04,0.15
1.098,-0.07,0.02,0.01,0.07
1.108,-0.04,0.01,-0.01,0.04
1.118,0.11,-0.01,0.00,0.11
1.128,-0.02,0.01,-0.00,0.02
1.138,-0.07,0.01,0.00,0.08
1.148,-0.01,0.01,-0.03,0.03
1.158,-0.00,0.00,-0.01,0.01
1.168,-0.04,-0.03,-0.02,0.06
1.178,-0.05,-0.03,-0.02,0.06
1.188,0.01,-0.03,-0.02,0.04
1.198,0.04,-0.00,-0.02,0.05
1.208,-0.04,-0.01,-0.02,0.04
1.218,-0.06,-0.00,-0.02,0.07
1.228,0.02,-0.01,-0.00,0.03
1.238,0.00,0.00,-0.01,0.01
1.248,-0.01,-0.02,-0.00,0.02
1.258,-0.06,0.02,-0.01,0.07
1.268,-0.01,0.00,-0.03,0.03
1.278,0.01,0.03,-0.01,0.03
1.288,0.01,-0.00,-0.01,0.02
1.298,0.00,0.00,-0.01,0.01
1.308,-0.00,-0.01,-0.01,0.02
1.318,-0.02,0.01,-0.03,0.04
1.328,0.01,0.02,-0.01,0.03
1.338,-0.03,0.00,-0.02,0.04
1.348,-0.03,-0.01,0.00,0.03
1.358,-0.03,-0.01,-0.02,0.04
1.368,-0.05,-0.01,-0.02,0.06
1.378,-0.04,0.00,-0.03,0.05
1.388,-0.03,0.02,-0.03,0.05
1.398,-0.04,-0.00,-0.00,0.04
1.408,-0.03,0.00,-0.01,0.03
1.418,-0.03,-0.00,-0.01,0.03
1.428,-0.01,0.01,0.00,0.02
1.438,-0.02,-0.01,-0.01,0.03
1.448,-0.02,-0.01,-0.03,0.04
1.458,-0.01,-0.01,-0.00,0.01
1.468,0.00,-0.00,-0.01,0.01
1.478,-0.00,-0.00,-0.02,0.02
1.488,-0.02,0.01,-0.01,0.03
1.498,-0.01,-0.00,-0.01,0.01
1.508,-0.01,0.00,-0.02,0.02
1.518,-0.03,0.00,-0.00,0.03
1.528,-0.01,-0.01,0.01,0.02
1.538,0.00,0.01,-0.00,0.01
1.548,0.00,-0.01,-0.02,0.02
1.558,0.01,-0.02,-0.00,0.02
1.568,-0.01,0.02,-0.03,0.03
1.578,0.01,0.00,-0.02,0.03
1.588,-0.01,-0.00,-0.00,0.02
1.598,-0.02,0.00,-0.02,0.03
1.608,-0.05,-0.00,-0.00,0.05
1.618,-0.04,0.00,-0.01,0.04
1.628,-0.03,-0.00,-0.02,0.04
1.637,-0.02,-0.02,-0.02,0.04
1.647,-0.02,-0.01,-0.01,0.03
1.657,-0.04,-0.02,-0.02,0.05
1.667,0.01,-0.02,-0.01,0.02
1.677,-0.02,-0.01,-0.02,0.03
1.687,-0.00,0.00,0.01,0.01
1.697,-0.00,-0.01,-0.01,0.01
1.707,-0.02,0.00,-0.00,0.02
1.717,-0.04,0.03,-0.01,0.05
1.727,-0.05,0.01,-0.01,0.05
1.737,-0.05,0.00,-0.02,0.05
1.747,-0.04,0.00,0.00,0.04
1.757,-0.01,-0.00,-0.01,0.02
1.767,0.00,0.00,-0.01,0.01
1.777,-0.00,-0.02,-0.03,0.03
1.787,-0.01,-0.01,-0.01,0.02
1.797,-0.01,-0.01,-0.00,0.02
1.807,-0.01,-0.02,-0.00,0.02
1.817,-0.00,0.00,-0.03,0.03
1.827,0.01,-0.01,-0.01,0.02
1.837,0.03,0.00,0.01,0.03
1.847,-0.01,0.00,-0.00,0.01
1.857,0.00,0.01,-0.01,0.02
1.867,0.01,0.01,-0.01,0.01
1.877,-0.02,-0.00,-0.01,0.02
1.887,-0.02,-0.00,-0.00,0.02
1.897,-0.02,0.01,-0.02,0.03
1.907,-0.00,0.01,-0.02,0.02
1.917,0.00,-0.01,-0.02,0.03
1.927,-0.02,-0.01,-0.02,0.03
1.937,-0.02,-0.00,-0.02,0.03
1.947,-0.04,-0.00,-0.01,0.04
1.957,-0.04,-0.01,-0.02,0.04
1.967,0.01,-0.02,-0.01,0.02
1.977,-0.03,-0.00,-0.02,0.03
1.987,-0.03,-0.00,-0.03,0.05
1.997,-0.02,-0.02,-0.03,0.04
2.007,-0.03,-0.00,-0.02,0.03
2.017,-0.00,0.01,0.00,0.01
2.027,-0.04,0.01,-0.01,0.04
2.037,-0.03,0.01,-0.01,0.04
2.047,-0.03,0.01,-0.02,0.04
2.057,-0.02,0.02,-0.02,0.03
2.067,-0.01,0.00,-0.02,0.02
2.077,-0.00,-0.02,-0.02,0.02
2.087,0.01,-0.01,-0.02,0.02
2.097,0.03,-0.00,-0.01,0.03
2.107,0.00,-0.01,-0.00,0.01
2.117,0.00,-0.00,-0.00,0.01
2.127,0.01,0.00,-0.03,0.03
2.137,0.01,0.01,-0.02,0.02
2.147,-0.02,-0.02,-0.01,0.03
2.157,0.00,0.01,-0.00,0.01
2.167,-0.02,0.00,-0.01,0.02
2.177,-0.03,0.01,-0.01,0.03
2.187,-0.02,0.01,-0.01,0.02
2.197,-0.01,0.00,-0.02,0.02
2.207,-0.02,0.01,0.01,0.02
2.217,-0.01,0.01,-0.01,0.01
2.227,-0.02,-0.00,-0.02,0.03
2.236,-0.03,-0.00,-0.02,0.03
2.247,-0.03,0.01,-0.00,0.03
2.257,-0.03,-0.01,0.00,0.03
2.266,-0.03,-0.00,-0.02,0.04
2.277,-0.02,-0.00,-0.01,0.03
2.287,-0.03,-0.01,-0.01,0.04
2.296,-0.01,-0.01,-0.00,0.02
2.306,-0.01,-0.01,-0.00,0.01
2.317,-0.01,-0.01,-0.02,0.03
2.326,-0.01,-0.01,-0.01,0.02
2.336,-0.03,-0.01,-0.00,0.03
2.346,-0.01,-0.00,-0.02,0.02
2.356,-0.03,0.01,-0.02,0.03
2.366,-0.02,0.01,-0.03,0.03
2.376,-0.01,-0.00,-0.02,0.02
2.386,-0.02,-0.00,-0.02,0.03
2.396,-0.01,-0.01,0.00,0.02
2.406,-0.00,0.00,-0.01,0.01
2.416,0.00,0.00,-0.01,0.01
2.426,0.00,-0.00,-0.01,0.01
2.436,0.02,-0.01,-0.01,0.02
2.446,0.01,-0.01,-0.01,0.02
2.456,0.01,-0.00,-0.01,0.01
2.466,-0.00,-0.01,-0.02,0.02
2.476,-0.02,0.01,-0.03,0.04
2.486,-0.04,0.01,-0.00,0.04
2.496,-0.04,-0.01,-0.01,0.04
2.506,-0.02,-0.01,-0.01,0.03
2.516,-0.02,-0.01,0.00,0.03
2.526,-0.03,-0.01,-0.01,0.03
2.536,-0.02,-0.00,-0.02,0.03
2.546,-0.04,-0.01,-0.02,0.05
2.556,-0.05,-0.02,-0.02,0.05
2.566,-0.03,-0.01,-0.02,0.04
2.576,-0.02,-0.01,-0.02,0.03
2.586,-0.02,-0.01,-0.03,0.03
2.596,-0.02,0.02,-0.02,0.03
2.606,0.02,-0.02,-0.03,0.04
2.616,0.01,-0.01,-0.01,0.02
2.626,-0.01,-0.01,-0.01,0.02
2.636,0.00,0.01,0.00,0.01
2.646,-0.01,0.00,-0.02,0.02
2.656,-0.04,-0.00,-0.02,0.04
2.666,-0.03,-0.01,-0.01,0.04
2.676,-0.03,-0.01,-0.01,0.03
2.686,-0.01,0.00,-0.03,0.03
2.696,-0.02,0.01,-0.02,0.03
2.706,0.00,-0.00,-0.02,0.02
2.716,0.01,-0.00,-0.01,0.02
2.726,-0.00,0.00,0.00,0.00
2.736,0.00,0.00,-0.00,0.01
2.746,-0.01,0.00,-0.02,0.02
2.756,-0.02,0.00,-0.01,0.02
2.766,-0.02,-0.01,0.00,0.02
2.776,-0.01,-0.01,-0.02,0.03
2.786,0.01,-0.00,-0.01,0.01
2.796,-0.01,-0.00,-0.02,0.02
2.806,-0.01,-0.02,-0.02,0.03
2.816,-0.02,-0.02,-0.02,0.03
2.826,-0.02,-0.01,-0.01,0.03
2.836,-0.03,0.00,-0.03,0.05
2.846,-0.03,-0.00,0.00,0.03
2.856,-0.02,0.00,-0.00,0.02
2.866,-0.03,-0.00,-0.02,0.03
2.876,-0.02,-0.01,-0.02,0.03
2.886,-0.00,-0.00,-0.02,0.02
2.896,-0.00,0.01,-0.02,0.02
2.906,-0.01,0.02,-0.01,0.02
2.915,-0.00,-0.01,-0.00,0.01
2.926,-0.02,-0.00,-0.01,0.02
2.935,-0.02,-0.00,0.00,0.02
2.946,-0.02,0.01,-0.01,0.02
2.955,-0.02,0.02,-0.00,0.03
2.965,0.00,-0.01,-0.01,0.02
2.975,-0.01,-0.01,-0.01,0.02
2.985,-0.01,-0.00,-0.02,0.02
2.995,-0.01,0.00,-0.01,0.02
3.005,-0.02,0.00,-0.02,0.03
3.015,-0.02,-0.01,-0.01,0.02
3.025,-0.03,0.01,-0.02,0.04
3.035,-0.04,-0.00,-0.02,0.04
3.045,-0.03,-0.01,-0.01,0.03
3.055,-0.02,0.01,-0.02,0.03
3.065,0.02,0.00,-0.03,0.04
3.075,-0.00,0.00,-0.02,0.02
3.085,0.01,0.01,-0.01,0.02
3.095,-0.00,0.00,-0.01,0.01
3.105,0.01,-0.01,-0.02,0.03
3.115,0.01,-0.01,-0.01,0.02
3.125,-0.02,-0.01,-0.01,0.02
3.135,-0.02,-0.00,-0.00,0.02
3.145,-0.03,-0.01,0.00,0.03
3.155,-0.03,-0.01,-0.00,0.03
