time,ax,ay,az,atotal
0.000,-0.01,0.00,-0.01,0.02
0.010,-0.01,-0.01,-0.02,0.02
0.020,-0.02,-0.02,-0.01,0.03
0.030,-0.01,-0.00,-0.01,0.01
0.040,-0.01,0.02,-0.00,0.02
0.050,-0.00,0.00,-0.02,0.02
0.060,0.00,-0.00,-0.02,0.02
0.070,0.00,0.00,-0.01,0.01
0.080,-0.03,0.01,-0.00,0.03
0.090,-0.00,-0.00,-0.01,0.01
0.100,-0.00,-0.00,-0.01,0.01
0.110,-0.02,-0.00,-0.00,0.02
0.120,-0.04,0.00,-0.02,0.04
0.130,-0.01,-0.00,0.00,0.01
0.140,-0.01,-0.00,-0.01,0.01
0.150,-0.01,0.00,-0.00,0.01
0.160,-0.00,0.00,-0.02,0.02
0.170,-0.01,0.00,-0.01,0.01
0.180,-0.02,0.00,-0.01,0.02
0.190,0.00,-0.01,-0.02,0.02
0.200,-0.01,-0.01,-0.03,0.03
0.210,-0.01,0.00,-0.00,0.01
0.220,-0.00,0.01,-0.02,0.02
0.230,-0.01,0.00,-0.01,0.02
0.240,-0.00,-0.01,0.01,0.01
0.250,0.01,0.00,-0.01,0.02
0.259,0.00,0.01,-0.00,0.01
0.269,-0.00,0.01,0.01,0.01
0.280,-0.01,0.01,-0.01,0.02
0.290,0.00,0.00,-0.01,0.01
0.299,-0.00,-0.00,-0.02,0.02
0.309,0.00,-0.00,-0.02,0.02
0.319,0.01,-0.01,-0.00,0.02
0.330,-0.01,-0.01,-0.00,0.02
0.339,-0.02,0.01,-0.01,0.02
0.350,-0.03,0.01,-0.03,0.04
0.359,-0.02,-0.01,-0.02,0.03
0.369,-0.01,-0.01,-0.00,0.01
0.379,-0.01,-0.00,-0.00,0.01
0.390,-0.02,0.00,-0.00,0.02
0.399,-0.01,0.00,-0.01,0.02
0.409,-0.02,0.00,-0.02,0.03
0.419,-0.02,0.02,-0.01,0.03
0.429,-0.01,0.01,0.00,0.01
0.439,0.00,0.01,-0.01,0.01
0.449,0.01,0.00,-0.01,0.02
0.459,0.01,-0.00,-0.02,0.02
