time,ax,ay,az,atotal
0.000,-0.00,-0.02,-0.02,0.03
0.010,-0.01,-0.01,-0.02,0.03
0.020,-0.00,-0.01,-0.01,0.02
0.030,0.01,-0.03,-0.01,0.03
0.040,0.01,-0.03,-0.02,0.03
0.050,0.01,-0.03,-0.02,0.03
0.060,0.02,-0.01,-0.02,0.03
0.070,-0.01,-0.01,-0.02,0.03
0.080,-0.02,-0.03,-0.03,0.04
0.090,-0.01,-0.01,-0.00,0.01
0.100,-0.02,-0.01,0.00,0.02
0.110,-0.01,-0.01,-0.00,0.01
0.120,0.01,-0.01,-0.02,0.02
0.130,-0.01,-0.02,-0.01,0.03
0.140,0.01,-0.01,0.00,0.02
0.150,0.00,-0.01,-0.02,0.02
0.160,0.01,-0.01,-0.02,0.03
0.170,-0.01,-0.02,-0.01,0.03
0.180,0.01,-0.03,-0.01,0.03
0.190,-0.01,-0.02,-0.01,0.02
0.200,-0.00,-0.02,-0.00,0.02
0.210,0.01,-0.02,-0.01,0.02
0.220,0.01,-0.00,-0.01,0.01
0.230,0.01,-0.02,-0.02,0.03
0.240,0.01,-0.02,-0.02,0.03
0.250,0.00,-0.01,-0.00,0.01
0.260,0.00,-0.02,-0.01,0.02
0.270,0.00,-0.02,-0.01,0.02
0.280,-0.01,-0.02,-0.01,0.02
0.290,0.01,-0.03,-0.02,0.03
0.300,0.01,-0.02,-0.01,0.02
0.310,0.00,-0.01,-0.02,0.02
0.320,0.01,-0.02,-0.02,0.03
0.330,-0.01,-0.03,-0.02,0.04
0.340,0.00,-0.02,-0.01,0.02
0.350,-0.01,-0.02,-0.02,0.03
0.359,-0.01,-0.01,-0.02,0.02
0.370,0.01,-0.01,0.00,0.01
0.380,-0.00,-0.01,-0.01,0.01
0.389,-0.02,-0.01,-0.01,0.02
0.400,-0.01,-0.02,-0.01,0.02
0.409,-0.00,-0.01,-0.00,0.01
0.419,-0.00,0.00,-0.01,0.01
0.429,-0.02,-0.02,-0.00,0.02
0.439,0.00,-0.02,-0.01,0.02
0.449,0.00,-0.03,-0.01,0.03
0.459,0.01,-0.02,-0.01,0.03
0.469,0.01,-0.02,-0.02,0.03
0.479,-0.00,-0.03,-0.02,0.04
0.489,0.01,-0.02,-0.00,0.02
0.499,-0.02,-0.01,-0.01,0.02
0.509,-0.02,-0.01,-0.04,0.04
0.519,-0.00,-0.02,-0.01,0.03
0.529,-0.01,-0.02,-0.01,0.02
0.539,-0.00,-0.01,-0.01,0.01
0.549,-0.01,-0.02,0.01,0.02
0.559,-0.01,-0.02,0.01,0.03
0.569,-0.01,-0.02,0.01,0.03
0.579,-0.01,-0.03,0.00,0.03
0.589,-0.01,-0.02,0.00,0.02
0.599,0.02,-0.01,-0.02,0.03
0.609,-0.01,-0.02,-0.03,0.03
0.619,-0.01,-0.03,-0.02,0.03
0.629,-0.02,-0.01,-0.02,0.02
0.639,0.01,-0.02,-0.01,0.02
0.649,0.01,-0.02,-0.01,0.02
0.659,0.01,-0.01,0.01,0.02
0.669,0.02,0.00,0.01,0.02
0.679,0.03,-0.02,0.00,0.04
0.689,0.01,-0.01,-0.01,0.02
0.699,0.02,-0.03,-0.01,0.04
0.709,0.01,-0.03,-0.03,0.04
0.719,-0.01,-0.02,-0.02,0.03
0.729,-0.02,-0.02,-0.00,0.02
0.739,-0.00,-0.02,-0.01,0.03
0.749,-0.01,-0.03,-0.01,0.04
0.759,-0.02,-0.02,-0.00,0.03
0.769,-0.01,-0.02,-0.01,0.03
0.779,0.01,-0.02,-0.00,0.02
0.789,-0.00,-0.03,0.02,0.03
0.799,-0.01,-0.01,0.01,0.02
0.809,0.00,0.00,0.01,0.01
0.819,-0.01,-0.02,0.01,0.02
0.829,-0.02,-0.03,-0.02,0.04
0.839,-0.01,-0.01,-0.01,0.02
0.849,-0.02,0.00,0.02,0.03
0.859,0.01,-0.02,-0.01,0.03
0.869,-0.01,-0.03,-0.00,0.03
0.879,-0.00,-0.01,0.00,0.01
0.889,-0.01,-0.01,-0.02,0.02
0.899,0.01,-0.02,-0.01,0.02
0.909,0.00,-0.02,-0.00,0.02
0.919,-0.00,-0.02,-0.00,0.02
0.929,0.00,-0.03,0.00,0.03
0.939,0.00,-0.01,0.01,0.02
0.949,0.01,-0.02,-0.00,0.02
0.959,0.00,-0.04,-0.01,0.04
0.969,-0.02,-0.02,-0.00,0.03
0.979,-0.02,-0.02,-0.00,0.02
0.989,-0.01,-0.02,-0.01,0.02
0.999,-0.02,0.00,-0.02,0.03
1.008,-0.01,0.00,0.01,0.02
1.019,-0.01,-0.02,-0.01,0.03
1.029,-0.00,-0.03,-0.02,0.03
1.039,0.00,-0.00,-0.01,0.01
1.048,0.02,-0.01,0.00,0.03
1.058,-0.00,-0.03,-0.01,0.03
1.068,-0.01,-0.03,0.00,0.03
1.079,0.00,-0.02,-0.01,0.02
1.088,-0.02,-0.02,-0.01,0.03
1.098,-0.04,-0.00,-0.01,0.04
1.108,-0.02,-0.00,-0.02,0.03
1.118,-0.04,-0.00,-0.00,0.04
1.128,-0.02,0.01,0.00,0.02
1.138,-0.01,-0.00,0.00,0.01
1.148,-0.02,-0.00,-0.01,0.02
1.158,0.01,-0.01,-0.01,0.02
1.168,0.01,-0.02,-0.00,0.02
1.178,0.01,-0.03,0.00,0.03
1.188,0.00,-0.01,0.00,0.01
1.198,-0.01,-0.01,0.00,0.01
1.208,-0.01,-0.02,-0.01,0.02
1.218,-0.01,-0.03,-0.01,0.03
1.228,-0.00,-0.03,-0.00,0.03
1.238,-0.01,-0.01,-0.03,0.03
1.248,-0.00,-0.01,-0.01,0.02
1.258,0.01,-0.02,0.01,0.02
1.268,-0.01,-0.01,0.01,0.02
1.278,-0.01,-0.01,-0.01,0.02
1.288,-0.01,-0.02,-0.01,0.02
1.298,-0.02,-0.01,-0.00,0.02
1.308,-0.02,-0.00,-0.01,0.03
1.318,-0.02,-0.02,-0.01,0.03
1.328,-0.01,-0.00,-0.03,0.03
1.338,-0.01,-0.01,0.00,0.01
1.348,-0.01,-0.02,-0.01,0.03
1.358,0.02,-0.01,-0.01,0.02
1.368,0.01,-0.02,0.01,0.03
1.378,0.00,-0.02,-0.00,0.02
1.388,0.01,-0.02,-0.00,0.02
1.398,-0.01,-0.01,-0.00,0.02
1.408,-0.03,-0.01,-0.01,0.03
1.418,-0.03,-0.02,0.01,0.03
1.428,-0.04,0.00,-0.02,0.04
1.438,-0.02,-0.02,-0.01,0.03
1.448,-0.01,-0.01,-0.00,0.02
1.458,-0.04,-0.00,-0.02,0.05
