time,ax,ay,az,atotal
0.000,0.00,-0.00,-0.01,0.01
0.010,0.01,-0.01,0.00,0.02
0.020,0.01,0.02,-0.01,0.02
0.030,-0.02,0.01,-0.01,0.02
0.040,-0.01,-0.01,-0.01,0.02
0.050,-0.01,0.00,-0.02,0.02
0.060,-0.01,-0.00,-0.02,0.02
0.070,-0.01,-0.00,-0.01,0.01
0.080,-0.02,0.02,-0.00,0.02
0.090,-0.01,0.01,-0.00,0.02
0.100,0.00,-0.01,0.00,0.01
0.110,0.01,-0.01,-0.01,0.01
0.120,0.01,-0.01,-0.01,0.02
0.130,-0.01,0.00,-0.01,0.02
0.140,0.01,-0.00,-0.01,0.02
0.150,0.01,0.00,-0.02,0.03
0.160,-0.00,-0.00,-0.01,0.01
0.170,0.00,0.02,-0.01,0.02
0.180,0.00,-0.01,0.00,0.01
0.190,0.00,-0.00,-0.02,0.02
0.200,-0.02,0.02,-0.02,0.03
0.210,0.01,0.00,-0.00,0.01
0.220,0.00,-0.00,-0.02,0.02
0.230,-0.01,0.00,-0.01,0.01
0.240,-0.01,0.01,-0.01,0.02
0.250,-0.00,0.01,-0.01,0.02
0.260,-0.00,-0.00,-0.02,0.02
0.270,-0.00,-0.00,-0.01,0.01
0.280,0.02,-0.01,-0.02,0.03
0.290,0.00,0.00,-0.01,0.02
0.300,-0.00,0.01,-0.00,0.01
0.310,-0.01,0.01,-0.01,0.02
0.320,-0.00,0.01,-0.01,0.01
0.330,-0.01,0.00,0.00,0.01
0.340,0.00,-0.01,-0.01,0.02
0.350,0.01,-0.01,-0.01,0.02
0.359,0.01,-0.00,-0.01,0.01
0.369,0.01,-0.01,-0.00,0.02
0.379,0.01,-0.01,-0.01,0.02
0.390,0.01,-0.00,-0.01,0.01
0.400,-0.01,-0.00,-0.01,0.02
0.409,-0.02,0.00,-0.01,0.02
0.420,-0.01,-0.00,-0.01,0.01
0.430,0.01,0.00,-0.01,0.02
0.439,-0.01,-0.01,-0.03,0.03
0.449,0.01,0.00,0.00,0.01
0.459,-0.00,0.00,-0.01,0.01
0.469,-0.00,0.01,-0.01,0.01
0.479,0.00,-0.00,-0.02,0.02
0.489,-0.00,0.00,-0.02,0.02
0.499,-0.01,-0.01,-0.02,0.03
0.509,-0.00,-0.00,-0.02,0.02
0.519,-0.01,0.00,-0.00,0.01
0.529,-0.00,-0.00,-0.01,0.01
0.539,0.01,-0.01,-0.00,0.01
0.549,-0.00,-0.02,-0.01,0.02
0.559,0.00,0.01,-0.01,0.01
0.569,-0.00,0.00,-0.02,0.02
0.579,0.01,0.02,-0.00,0.02
0.589,-0.00,0.01,-0.01,0.02
0.599,-0.00,0.01,-0.02,0.03
0.609,-0.00,0.00,-0.01,0.01
0.619,0.01,0.02,-0.01,0.02
0.629,-0.00,0.01,0.00,0.01
0.639,0.01,-0.01,-0.01,0.02
0.649,0.01,-0.01,0.00,0.02
0.659,0.01,-0.01,-0.00,0.01
0.669,0.01,-0.00,-0.00,0.01
0.679,0.02,-0.00,-0.02,0.03
0.689,-0.00,-0.01,-0.01,0.02
0.699,0.02,-0.01,-0.03,0.04
0.709,0.00,-0.01,-0.02,0.02
0.719,-0.01,-0.00,-0.02,0.03
0.729,0.00,0.00,-0.01,0.01
0.739,-0.00,-0.01,-0.01,0.02
0.749,0.01,-0.00,-0.02,0.02
0.759,0.02,-0.00,-0.02,0.03
0.769,-0.01,0.00,-0.02,0.02
0.779,0.01,-0.00,-0.01,0.01
0.789,0.00,0.00,-0.01,0.01
0.799,-0.00,-0.01,-0.00,0.01
0.809,0.00,-0.01,-0.01,0.02
0.819,-0.00,-0.00,-0.03,0.03
0.829,-0.02,-0.01,-0.02,0.03
0.839,-0.01,-0.00,-0.02,0.02
0.849,0.01,0.01,-0.00,0.02
0.859,-0.00,0.02,-0.00,0.02
0.869,0.00,-0.01,-0.00,0.01
0.879,0.00,0.01,-0.01,0.01
0.889,-0.01,0.01,-0.00,0.02
0.899,-0.02,0.01,-0.01,0.02
0.909,0.01,-0.02,-0.02,0.03
0.919,0.01,0.00,0.04,0.04
0.929,-0.01,-0.03,-0.05,0.06
0.939,0.05,0.05,0.01,0.07
0.949,-0.13,0.01,-0.02,0.14
0.959,0.04,0.00,0.00,0.04
0.969,-0.07,-0.02,-0.02,0.07
0.979,0.02,-0.02,-0.01,0.03
0.989,-0.03,-0.02,-0.01,0.04
0.999,-0.02,-0.03,-0.03,0.04
1.009,0.06,-0.02,-0.02,0.07
1.018,0.05,-0.02,0.00,0.06
1.029,0.01,0.00,-0.01,0.02
1.039,0.02,-0.01,-0.01,0.02
1.049,0.04,0.02,-0.01,0.05
1.058,0.01,0.00,-0.02,0.02
1.069,-0.03,0.02,-0.01,0.04
1.078,-0.02,0.02,-0.01,0.03
1.089,-0.01,0.00,-0.02,0.02
1.098,0.00,-0.00,-0.00,0.00
1.108,0.02,-0.02,-0.00,0.03
1.118,0.02,-0.01,-0.01,0.03
1.128,0.02,-0.02,-0.01,0.03
1.138,0.05,-0.01,-0.00,0.05
1.148,0.02,-0.02,-0.02,0.03
1.158,-0.01,-0.01,-0.02,0.02
1.168,0.00,-0.00,-0.01,0.01
1.178,-0.03,0.01,-0.01,0.03
1.188,-0.04,0.01,-0.01,0.04
1.198,-0.04,-0.00,-0.02,0.04
1.208,-0.04,0.00,-0.01,0.04
1.218,-0.03,-0.00,-0.01,0.03
1.228,0.00,0.01,0.00,0.01
1.238,0.01,0.00,0.00,0.01
1.248,0.01,-0.00,-0.02,0.02
1.258,0.02,-0.00,-0.00,0.02
1.268,0.02,0.01,-0.01,0.02
1.278,0.01,-0.00,-0.00,0.02
1.288,-0.00,-0.02,0.01,0.02
1.298,-0.03,-0.02,0.00,0.04
1.308,-0.03,0.00,-0.01,0.03
1.318,-0.03,0.00,-0.02,0.04
1.328,-0.01,0.01,-0.01,0.01
1.338,0.02,-0.00,-0.00,0.02
1.348,0.03,-0.00,0.00,0.03
1.358,0.04,-0.01,0.00,0.04
1.368,0.03,0.00,-0.02,0.03
1.378,0.03,0.00,-0.02,0.04
1.388,0.03,0.01,-0.00,0.03
1.398,0.01,0.00,-0.00,0.01
1.408,-0.01,-0.00,-0.01,0.02
1.418,-0.02,0.02,-0.01,0.03
1.428,-0.02,0.01,-0.01,0.02
1.438,-0.02,0.02,-0.01,0.03
1.448,-0.02,0.00,-0.01,0.02
1.458,0.01,-0.00,-0.00,0.01
1.468,0.02,-0.01,-0.01,0.03
1.478,0.01,-0.02,0.00,0.03
1.488,-0.00,0.00,-0.01,0.01
1.498,-0.02,0.01,-0.01,0.03
1.508,-0.05,-0.00,0.00,0.05
1.518,-0.03,-0.01,-0.01,0.04
1.528,-0.03,0.00,-0.00,0.03
1.538,-0.01,-0.01,-0.01,0.02
1.548,0.00,-0.00,-0.00,0.01
1.558,0.00,0.00,0.00,0.01
1.568,0.03,-0.00,0.00,0.03
1.578,0.02,0.01,-0.00,0.02
1.588,0.02,-0.00,0.00,0.02
1.598,0.02,0.00,-0.01,0.02
1.608,0.02,-0.01,-0.01,0.03
1.618,0.01,-0.00,-0.00,0.01
1.628,-0.00,-0.00,-0.01,0.01
1.638,0.00,0.02,-0.01,0.02
1.648,-0.02,0.00,-0.01,0.02
1.658,-0.01,-0.02,-0.00,0.02
1.668,0.01,-0.01,0.00,0.01
1.678,-0.01,-0.01,-0.01,0.01
1.688,-0.02,-0.01,-0.01,0.02
1.698,-0.00,-0.00,-0.01,0.01
1.708,-0.01,0.01,-0.02,0.02
1.718,-0.00,-0.01,-0.00,0.01
1.728,-0.03,-0.01,-0.00,0.03
1.738,-0.03,-0.00,-0.02,0.04
1.747,-0.02,0.00,-0.02,0.03
1.757,-0.00,0.00,-0.02,0.02
1.767,0.01,0.00,-0.02,0.02
1.777,-0.00,-0.01,-0.01,0.02
1.787,0.02,-0.01,0.01,0.02
1.797,0.00,0.01,-0.00,0.01
1.808,-0.01,-0.00,-0.02,0.02
1.818,-0.01,-0.00,-0.00,0.01
1.827,-0.02,-0.00,0.00,0.02
1.837,-0.04,-0.00,-0.02,0.04
1.847,-0.01,0.00,-0.03,0.04
1.857,0.01,0.01,-0.01,0.01
1.867,0.01,-0.01,-0.01,0.02
1.877,-0.00,0.00,-0.01,0.01
1.887,0.02,-0.00,-0.00,0.02
1.897,0.03,-0.01,-0.00,0.03
1.907,0.01,-0.01,-0.02,0.03
1.917,0.00,-0.01,-0.01,0.01
1.927,-0.00,-0.01,-0.01,0.01
1.937,0.02,-0.01,-0.00,0.02
1.947,-0.00,0.00,-0.00,0.00
1.957,-0.02,0.01,-0.02,0.03
1.967,0.00,0.01,-0.01,0.02
1.977,0.02,0.01,-0.01,0.02
1.987,0.01,-0.00,-0.01,0.02
1.997,0.01,-0.00,-0.01,0.01
2.007,-0.00,-0.00,-0.00,0.00
2.017,0.01,-0.01,-0.02,0.03
2.027,-0.02,-0.01,-0.02,0.03
2.037,-0.02,-0.00,-0.00,0.02
2.047,-0.00,-0.00,-0.01,0.01
