time,ax,ay,az,atotal
0.000,-0.02,0.00,-0.02,0.03
0.010,-0.02,0.01,-0.01,0.02
0.020,-0.03,0.00,-0.01,0.03
0.030,-0.01,-0.01,-0.01,0.02
0.040,-0.01,0.00,0.00,0.01
0.050,-0.01,-0.01,-0.02,0.02
0.060,-0.01,0.00,-0.01,0.01
0.070,-0.01,0.00,-0.02,0.02
0.080,-0.01,0.00,-0.02,0.02
0.090,-0.01,0.00,-0.03,0.03
0.100,-0.03,0.01,-0.02,0.04
0.110,-0.02,-0.00,-0.02,0.03
0.120,-0.04,0.01,-0.02,0.04
0.130,-0.02,0.02,-0.02,0.03
0.140,0.00,0.01,-0.02,0.02
0.150,0.01,-0.01,-0.00,0.01
0.160,0.00,-0.00,-0.01,0.01
0.170,-0.01,0.00,-0.01,0.01
0.180,0.02,-0.00,-0.01,0.02
0.190,0.02,0.00,-0.01,0.03
0.200,0.01,-0.00,-0.02,0.02
0.210,0.00,-0.01,-0.01,0.01
0.220,-0.02,-0.00,-0.01,0.02
0.230,-0.02,-0.00,-0.01,0.02
0.240,-0.02,0.00,-0.01,0.02
0.249,-0.04,-0.01,-0.01,0.05
0.260,-0.03,-0.00,-0.01,0.03
0.270,-0.06,0.00,-0.02,0.06
0.280,-0.04,0.02,-0.02,0.05
0.290,-0.01,0.00,-0.01,0.02
0.300,-0.00,0.00,-0.01,0.01
0.310,-0.01,-0.00,-0.01,0.02
0.319,-0.01,-0.01,-0.01,0.02
0.330,0.00,-0.01,-0.01,0.01
0.339,-0.00,0.00,-0.02,0.02
0.350,-0.02,-0.01,-0.01,0.02
0.359,-0.02,0.00,-0.01,0.02
0.370,-0.02,0.01,-0.01,0.02
0.379,-0.03,0.00,-0.02,0.04
0.389,-0.03,0.00,-0.01,0.03
0.399,-0.03,0.00,-0.00,0.03
0.409,-0.00,-0.00,-0.02,0.02
0.419,0.01,0.00,-0.01,0.01
0.429,0.01,-0.01,-0.02,0.03
0.439,0.04,0.00,-0.01,0.04
0.449,0.01,0.00,-0.02,0.02
0.459,0.01,0.00,-0.02,0.02
0.469,-0.02,0.00,-0.01,0.03
0.479,-0.04,0.01,-0.01,0.04
0.489,-0.04,-0.00,-0.03,0.05
0.499,-0.04,-0.01,-0.03,0.05
0.509,-0.03,0.02,-0.02,0.04
0.519,-0.02,0.01,-0.02,0.03
0.529,-0.02,0.00,-0.01,0.02
0.539,0.00,-0.01,-0.02,0.02
0.549,0.01,0.00,-0.02,0.03
0.559,0.01,-0.00,-0.02,0.02
0.569,-0.01,-0.00,-0.02,0.02
0.579,0.00,-0.01,-0.02,0.02
0.589,-0.03,0.01,-0.01,0.03
0.599,-0.03,0.00,-0.03,0.04
0.609,-0.05,0.00,-0.01,0.05
0.619,-0.04,0.01,-0.02,0.05
0.629,-0.01,0.01,-0.02,0.02
0.639,0.02,0.01,-0.00,0.02
0.649,0.04,-0.01,-0.01,0.04
0.659,0.04,-0.01,-0.03,0.05
0.669,0.02,0.00,-0.01,0.02
0.679,0.02,0.01,-0.01,0.03
0.689,0.02,-0.00,-0.01,0.02
0.699,-0.01,0.01,-0.01,0.02
0.709,-0.03,0.00,-0.01,0.03
0.719,-0.03,-0.00,-0.02,0.04
0.729,-0.03,0.01,-0.01,0.03
0.739,-0.02,0.00,-0.01,0.02
0.749,-0.00,-0.00,-0.01,0.01
0.759,-0.02,0.01,-0.01,0.02
0.769,-0.01,-0.00,-0.01,0.01
0.779,-0.02,-0.00,-0.00,0.02
0.789,-0.01,0.01,-0.03,0.03
0.799,-0.04,0.02,-0.02,0.05
0.809,-0.06,0.02,-0.03,0.07
0.819,-0.01,-0.01,0.00,0.01
0.829,-0.05,0.01,-0.03,0.06
0.839,-0.04,0.02,-0.01,0.05
0.849,-0.03,0.01,-0.01,0.03
0.859,0.01,-0.00,-0.02,0.03
0.869,-0.01,0.01,-0.02,0.03
