time,ax,ay,az,atotal
0.000,0.01,-0.02,-0.03,0.04
0.010,0.01,-0.03,-0.03,0.04
0.020,0.00,-0.02,-0.03,0.04
0.030,-0.01,-0.02,-0.02,0.02
0.040,-0.01,-0.03,-0.01,0.04
0.050,0.00,-0.04,-0.02,0.05
0.060,0.00,-0.02,-0.01,0.02
0.070,0.01,-0.03,-0.00,0.03
0.080,0.03,-0.03,-0.01,0.04
0.090,0.03,-0.02,-0.00,0.03
0.100,0.01,-0.01,-0.01,0.02
0.110,0.02,-0.02,-0.01,0.03
0.120,0.03,-0.03,-0.02,0.05
0.130,0.03,-0.02,-0.01,0.04
0.140,0.01,-0.03,-0.01,0.04
0.150,0.03,-0.03,-0.03,0.05
0.160,0.02,-0.03,-0.02,0.04
0.170,0.01,-0.03,-0.01,0.03
0.180,0.01,-0.03,-0.01,0.03
0.190,0.01,-0.03,-0.01,0.04
0.200,-0.01,-0.03,0.00,0.03
0.210,0.01,-0.03,-0.01,0.03
0.220,0.02,-0.02,-0.01,0.03
0.230,0.01,-0.02,-0.01,0.03
0.240,0.02,-0.02,-0.02,0.04
0.250,0.02,-0.03,-0.01,0.04
0.260,0.03,-0.03,-0.01,0.05
0.270,0.03,-0.03,-0.02,0.04
0.279,0.01,-0.03,-0.01,0.03
0.290,0.01,-0.03,-0.02,0.04
0.299,0.02,-0.03,-0.02,0.04
0.310,0.02,-0.02,-0.02,0.04
0.319,0.01,-0.02,-0.01,0.03
0.330,0.01,-0.02,-0.02,0.03
0.340,0.01,-0.02,-0.01,0.03
0.350,0.01,-0.03,-0.01,0.04
0.360,0.03,-0.02,-0.01,0.04
0.369,0.01,-0.03,-0.00,0.03
0.379,0.02,-0.03,-0.03,0.05
0.389,0.01,-0.02,-0.00,0.03
0.399,0.01,-0.02,-0.01,0.03
0.409,0.02,-0.02,-0.01,0.03
0.419,0.02,-0.02,-0.02,0.03
0.429,0.02,-0.03,-0.02,0.04
0.439,0.02,-0.02,-0.02,0.04
0.449,0.01,-0.02,-0.02,0.03
