time,ax,ay,az,atotal
0.000,0.00,-0.01,-0.01,0.01
0.010,-0.02,0.00,-0.02,0.03
0.020,-0.01,-0.02,-0.01,0.02
0.030,-0.01,-0.01,-0.01,0.02
0.040,-0.02,-0.00,-0.00,0.02
0.050,-0.03,-0.01,-0.01,0.03
0.060,-0.02,-0.01,-0.01,0.03
0.070,-0.01,-0.02,-0.02,0.03
0.080,0.01,-0.02,-0.02,0.03
0.090,0.00,-0.00,-0.02,0.02
0.100,-0.01,-0.01,-0.01,0.02
0.110,-0.01,-0.01,-0.02,0.02
0.120,-0.01,-0.01,-0.02,0.03
0.130,-0.01,-0.03,-0.03,0.04
0.140,-0.00,-0.02,-0.03,0.03
0.150,-0.01,-0.01,-0.02,0.02
0.160,-0.01,-0.02,-0.01,0.03
0.170,-0.00,-0.02,-0.02,0.03
0.180,-0.02,-0.02,-0.01,0.03
0.190,0.01,-0.02,-0.02,0.03
0.200,0.01,-0.00,-0.01,0.02
0.210,-0.00,-0.01,-0.01,0.01
0.220,-0.00,-0.01,-0.01,0.02
0.230,-0.00,-0.02,-0.00,0.02
0.240,-0.00,-0.01,-0.02,0.02
0.250,-0.00,-0.02,-0.02,0.03
0.260,0.00,-0.03,-0.02,0.04
0.270,0.01,-0.02,-0.02,0.02
0.279,-0.02,-0.02,-0.02,0.03
0.290,-0.01,-0.02,-0.03,0.03
0.299,-0.02,-0.01,-0.00,0.02
0.310,-0.01,-0.01,-0.00,0.01
0.319,-0.01,-0.00,-0.02,0.02
0.329,0.00,-0.02,-0.02,0.02
0.339,0.00,0.00,-0.02,0.02
0.349,0.01,-0.01,-0.02,0.02
0.359,-0.00,-0.02,-0.01,0.03
0.369,-0.02,-0.01,-0.01,0.03
0.379,0.00,-0.01,-0.01,0.02
0.389,-0.01,-0.02,-0.02,0.03
0.399,-0.01,-0.02,-0.02,0.03
0.409,-0.01,-0.02,-0.02,0.03
0.419,-0.00,-0.01,-0.02,0.02
0.429,-0.01,-0.02,-0.02,0.03
0.439,-0.01,-0.02,-0.02,0.03
0.449,-0.01,-0.02,-0.02,0.02
0.459,-0.00,-0.03,-0.01,0.03
0.469,-0.01,-0.02,-0.02,0.03
0.479,0.00,-0.01,-0.01,0.02
0.489,-0.01,-0.01,-0.01,0.01
0.499,-0.01,-0.02,-0.01,0.03
0.509,-0.01,-0.00,-0.01,0.02
0.519,-0.01,-0.02,-0.01,0.02
0.529,0.00,-0.01,-0.01,0.02
0.539,-0.00,-0.01,-0.01,0.02
0.549,0.00,-0.02,-0.02,0.03
0.559,-0.01,-0.02,-0.03,0.03
0.569,0.00,-0.01,-0.03,0.03
0.579,0.01,-0.01,-0.02,0.03
0.589,-0.01,-0.02,-0.01,0.02
0.599,-0.01,-0.01,-0.03,0.03
0.609,-0.00,-0.02,-0.02,0.03
0.619,-0.01,-0.01,-0.03,0.03
0.629,-0.00,-0.01,-0.02,0.02
0.639,-0.01,-0.03,-0.02,0.03
0.649,-0.02,-0.01,-0.01,0.02
0.659,0.00,-0.00,-0.02,0.02
0.669,-0.01,-0.01,-0.02,0.03
0.679,0.00,-0.01,-0.01,0.02
0.689,-0.01,-0.03,-0.02,0.03
0.699,-0.01,-0.02,0.01,0.02
0.709,-0.00,-0.02,-0.02,0.03
0.719,-0.02,-0.00,-0.01,0.02
0.729,-0.01,-0.01,-0.02,0.03
0.739,-0.03,0.00,-0.04,0.05
0.749,-0.03,-0.02,-0.02,0.04
0.759,-0.03,-0.02,-0.01,0.03
0.769,-0.03,-0.00,-0.02,0.03
0.779,-0.05,-0.01,-0.02,0.05
0.789,-0.05,-0.00,-0.02,0.05
0.799,-0.04,-0.01,-0.02,0.05
0.809,-0.01,-0.02,-0.01,0.02
0.819,0.02,-0.02,-0.00,0.03
0.829,0.03,-0.04,-0.02,0.05
0.839,0.04,-0.04,-0.01,0.06
0.849,0.05,-0.05,-0.02,0.08
0.859,0.05,-0.04,-0.01,0.06
0.868,0.04,-0.01,-0.04,0.06
0.879,0.05,-0.01,-0.02,0.06
0.889,0.04,-0.02,0.00,0.04
0.899,0.02,-0.03,-0.00,0.03
0.909,0.02,-0.01,0.01,0.02
0.918,-0.01,0.00,-0.00,0.01
0.929,-0.01,0.03,-0.02,0.04
0.938,-0.03,0.04,-0.03,0.05
0.948,-0.04,0.04,-0.02,0.06
0.959,-0.01,0.03,-0.01,0.03
0.968,0.01,-0.00,0.01,0.01
