time,ax,ay,az,atotal
0.000,-0.00,-0.00,-0.02,0.02
0.010,0.01,0.02,-0.00,0.02
0.020,-0.00,0.01,-0.01,0.02
0.030,0.00,-0.02,0.00,0.02
0.040,0.02,-0.01,-0.02,0.02
0.050,0.01,-0.02,-0.01,0.02
0.060,0.01,-0.01,-0.01,0.01
0.070,0.00,-0.01,-0.01,0.02
0.080,-0.02,-0.01,-0.01,0.02
0.090,-0.01,-0.01,-0.01,0.02
0.100,0.01,-0.03,-0.01,0.04
0.110,0.00,0.01,-0.01,0.01
0.120,0.01,0.01,-0.02,0.02
0.130,-0.00,0.01,-0.01,0.01
0.140,-0.01,-0.00,-0.00,0.01
0.150,0.00,0.00,-0.00,0.01
0.160,0.01,-0.01,-0.01,0.02
0.170,0.01,-0.01,-0.02,0.03
0.180,0.01,-0.03,-0.02,0.04
0.190,0.01,-0.01,-0.01,0.02
0.200,0.01,0.00,-0.01,0.01
0.210,0.01,-0.01,-0.03,0.03
0.220,0.02,-0.02,-0.01,0.03
0.230,-0.01,0.01,-0.02,0.02
0.240,0.02,-0.01,-0.01,0.02
0.250,-0.01,-0.01,-0.01,0.01
0.260,-0.00,-0.01,-0.01,0.01
0.270,0.00,-0.01,-0.01,0.02
0.280,-0.01,-0.00,0.00,0.01
0.290,-0.01,-0.00,-0.02,0.03
0.300,-0.00,-0.01,0.00,0.01
0.309,0.01,0.00,0.00,0.01
0.320,-0.00,-0.01,-0.01,0.01
0.329,0.00,-0.00,-0.01,0.01
0.340,0.01,0.00,0.00,0.01
0.349,0.01,-0.00,-0.00,0.01
0.359,0.01,-0.00,-0.01,0.02
0.369,0.01,-0.01,-0.01,0.02
0.379,0.01,-0.02,-0.01,0.02
0.389,0.02,-0.01,0.01,0.02
0.399,0.01,-0.01,0.00,0.02
0.409,-0.00,-0.01,-0.02,0.02
0.419,0.02,-0.01,-0.01,0.02
0.429,-0.00,-0.01,-0.01,0.01
0.439,0.00,-0.01,-0.01,0.01
0.449,0.01,-0.01,-0.00,0.02
0.459,-0.01,-0.00,-0.01,0.01
0.469,0.01,-0.00,-0.00,0.01
0.479,-0.00,-0.01,-0.00,0.01
0.489,-0.01,-0.00,0.00,0.01
0.499,0.01,-0.01,-0.00,0.01
0.509,0.01,-0.01,-0.01,0.02
0.519,0.00,0.01,-0.01,0.02
0.529,0.00,0.00,-0.01,0.01
0.539,0.03,-0.01,-0.01,0.03
0.549,0.02,-0.00,-0.01,0.02
0.559,0.00,-0.00,0.01,0.01
0.569,-0.01,0.00,-0.01,0.02
0.579,0.00,-0.02,-0.02,0.02
0.589,0.02,-0.00,-0.01,0.02
0.599,-0.01,-0.01,-0.00,0.01
0.609,-0.01,-0.00,-0.02,0.02
0.619,0.01,-0.02,-0.01,0.03
0.629,-0.02,-0.01,-0.02,0.03
0.639,-0.00,-0.01,-0.00,0.01
0.649,0.01,-0.01,-0.01,0.02
0.659,-0.02,-0.01,-0.02,0.03
0.669,0.00,-0.01,-0.01,0.01
0.679,0.02,-0.02,-0.01,0.03
0.689,0.00,-0.01,-0.00,0.01
0.699,-0.01,-0.02,-0.01,0.02
0.709,0.00,-0.00,0.00,0.00
0.719,0.01,-0.01,0.00,0.02
0.729,0.03,-0.01,-0.01,0.03
0.739,0.01,-0.00,-0.02,0.02
0.749,0.01,-0.01,-0.02,0.02
0.759,-0.01,-0.02,-0.02,0.03
0.769,0.00,-0.01,-0.01,0.01
0.779,0.02,-0.01,-0.00,0.02
0.789,0.00,-0.02,-0.00,0.02
0.799,0.01,0.00,-0.01,0.02
0.809,0.00,0.01,-0.01,0.01
0.819,0.01,0.01,-0.01,0.02
0.829,0.00,-0.00,0.01,0.01
0.839,-0.00,0.00,-0.01,0.01
0.849,0.00,-0.01,-0.03,0.03
0.859,0.01,-0.02,-0.01,0.02
0.869,0.02,-0.01,-0.01,0.03
0.879,0.01,-0.01,0.00,0.02
0.889,0.03,-0.02,-0.01,0.03
0.899,0.01,-0.00,0.01,0.02
0.909,0.02,-0.01,-0.01,0.02
0.919,0.01,-0.01,-0.01,0.02
0.929,0.00,-0.01,0.01,0.02
0.939,-0.01,0.00,0.00,0.01
0.949,0.00,-0.00,-0.02,0.02
0.959,0.00,-0.01,-0.01,0.01
0.969,0.00,-0.00,-0.01,0.01
0.979,-0.00,-0.02,-0.01,0.02
0.989,-0.01,-0.01,-0.00,0.01
0.999,0.01,-0.01,-0.01,0.02
1.009,-0.01,-0.01,-0.02,0.02
1.019,0.00,-0.01,-0.01,0.01
1.029,0.00,-0.01,-0.01,0.02
1.039,0.01,-0.01,-0.01,0.02
1.048,0.02,-0.01,-0.02,0.03
1.058,0.02,-0.01,-0.01,0.02
1.069,-0.01,-0.00,-0.01,0.02
1.079,0.00,0.00,-0.01,0.01
1.088,0.02,0.01,-0.01,0.03
1.098,0.01,-0.01,-0.02,0.02
1.108,0.00,-0.00,-0.02,0.02
1.118,-0.00,-0.02,-0.01,0.02
1.128,0.01,-0.02,-0.03,0.04
1.138,0.01,-0.02,0.00,0.02
1.148,-0.00,0.00,-0.02,0.02
1.158,-0.01,-0.02,-0.01,0.02
1.168,0.01,-0.01,0.01,0.02
1.178,0.02,0.00,-0.02,0.03
1.188,0.04,-0.01,-0.03,0.05
1.198,0.02,-0.01,-0.01,0.02
1.208,0.03,-0.01,-0.01,0.03
1.218,0.03,-0.01,-0.01,0.03
1.228,0.02,-0.01,-0.01,0.03
1.238,0.01,-0.01,-0.02,0.02
1.248,-0.00,-0.02,-0.02,0.03
1.258,-0.00,0.00,-0.01,0.01
1.268,-0.01,-0.02,-0.02,0.03
1.278,-0.02,-0.01,-0.01,0.02
1.288,-0.04,-0.00,-0.02,0.05
1.298,-0.01,-0.01,-0.03,0.04
1.308,-0.02,-0.01,-0.02,0.02
1.318,-0.02,0.01,-0.02,0.03
1.328,-0.02,0.01,-0.03,0.04
1.338,-0.01,-0.01,-0.02,0.02
1.348,0.00,-0.00,-0.00,0.00
1.358,0.03,0.00,-0.00,0.03
1.368,0.02,0.01,-0.00,0.02
1.378,0.03,-0.02,-0.01,0.04
1.388,0.01,-0.01,0.01,0.01
1.398,0.01,-0.02,-0.00,0.02
1.408,0.02,-0.02,-0.00,0.03
1.418,0.02,0.00,-0.01,0.02
1.428,0.01,-0.01,-0.01,0.01
1.438,0.01,0.01,0.00,0.02
1.448,-0.00,0.00,-0.02,0.02
1.458,-0.01,0.01,-0.01,0.02
1.468,-0.02,0.01,-0.00,0.02
1.478,-0.01,0.01,-0.01,0.01
1.488,0.01,-0.00,-0.01,0.02
1.498,0.00,-0.02,-0.01,0.02
1.508,0.01,-0.00,0.00,0.02
1.518,0.00,-0.02,-0.01,0.02
1.528,0.00,-0.01,-0.00,0.01
1.538,0.01,-0.01,-0.01,0.02
1.548,0.00,-0.00,-0.01,0.01
1.558,-0.00,-0.01,-0.00,0.01
1.568,-0.00,-0.02,-0.00,0.02
1.578,0.01,-0.01,-0.02,0.02
1.588,0.01,0.00,-0.00,0.01
1.598,0.01,-0.01,-0.01,0.02
1.608,0.02,-0.00,-0.01,0.02
1.618,0.02,0.01,-0.00,0.02
1.628,0.01,-0.01,-0.01,0.02
1.638,0.02,-0.00,-0.01,0.02
1.648,0.02,-0.02,-0.01,0.03
1.658,0.03,-0.00,-0.00,0.03
1.668,0.01,0.00,0.01,0.01
1.678,-0.00,-0.01,-0.01,0.01
1.688,0.01,-0.02,-0.01,0.02
1.698,0.01,-0.03,-0.01,0.03
1.708,-0.01,-0.02,-0.01,0.02
1.718,-0.01,-0.02,-0.01,0.03
1.727,0.00,-0.03,0.00,0.03
1.738,-0.01,-0.00,-0.02,0.03
1.747,-0.01,0.00,-0.02,0.02
