time,ax,ay,az,atotal
0.000,0.01,-0.02,-0.02,0.03
0.010,0.01,-0.01,-0.01,0.02
0.020,0.02,-0.02,-0.01,0.03
0.030,0.01,-0.04,-0.01,0.04
0.040,0.01,-0.03,-0.00,0.03
0.050,0.00,-0.03,-0.02,0.04
0.060,-0.00,-0.03,-0.02,0.03
0.070,0.00,-0.02,-0.01,0.02
0.080,0.01,-0.02,-0.01,0.02
0.090,0.01,-0.02,0.00,0.02
0.100,0.01,-0.02,-0.02,0.03
0.110,0.02,-0.02,-0.01,0.03
0.120,0.01,-0.02,-0.02,0.03
0.130,0.01,-0.03,-0.02,0.04
0.140,-0.00,-0.04,-0.02,0.05
0.150,-0.00,-0.03,-0.02,0.04
0.160,0.01,-0.02,-0.01,0.03
0.170,-0.00,-0.03,-0.01,0.03
0.180,0.01,-0.02,-0.02,0.02
0.190,0.01,-0.02,-0.01,0.02
0.200,0.01,-0.01,-0.01,0.02
0.210,0.00,-0.01,-0.01,0.01
0.220,0.01,-0.02,-0.01,0.02
0.230,-0.01,-0.02,-0.01,0.02
0.240,0.01,-0.03,-0.01,0.03
0.250,0.00,-0.02,-0.02,0.03
0.260,0.01,-0.03,-0.02,0.04
0.270,-0.00,-0.03,-0.01,0.03
0.280,0.00,-0.03,-0.00,0.03
0.290,0.01,-0.03,-0.01,0.04
0.300,0.00,-0.03,-0.01,0.04
0.310,0.01,-0.02,-0.01,0.03
0.320,0.01,-0.02,-0.02,0.02
0.330,0.01,-0.02,-0.02,0.03
0.340,0.01,-0.03,-0.00,0.04
0.350,0.01,-0.01,-0.02,0.02
0.360,0.02,-0.01,-0.02,0.03
0.370,-0.01,-0.02,-0.02,0.03
0.380,-0.00,-0.03,-0.00,0.03
0.390,-0.00,-0.02,-0.01,0.02
0.399,-0.02,-0.01,-0.01,0.02
0.409,-0.00,-0.01,-0.01,0.02
0.419,0.01,-0.03,-0.02,0.04
0.429,0.01,-0.04,0.00,0.04
0.440,0.02,-0.02,-0.02,0.03
0.449,0.01,-0.02,-0.01,0.02
0.459,0.00,-0.03,-0.00,0.03
0.470,0.00,-0.03,-0.01,0.04
0.479,0.01,-0.02,-0.02,0.03
0.489,-0.00,-0.03,-0.01,0.03
0.499,-0.00,-0.02,-0.02,0.03
0.509,-0.01,-0.03,-0.03,0.04
0.519,0.00,-0.02,-0.00,0.02
0.529,0.01,-0.02,-0.00,0.02
0.539,0.02,-0.02,-0.02,0.03
0.549,0.00,-0.03,0.00,0.03
0.559,0.01,-0.03,-0.02,0.04
0.569,0.01,-0.04,-0.00,0.04
0.579,0.01,-0.03,-0.01,0.03
0.589,-0.02,-0.02,-0.02,0.03
0.599,0.01,-0.03,-0.01,0.03
0.609,-0.01,-0.03,-0.01,0.03
0.619,-0.01,-0.03,-0.01,0.03
0.629,0.01,-0.03,-0.02,0.04
0.639,0.01,-0.03,-0.01,0.03
0.649,0.02,-0.02,-0.01,0.03
0.659,0.01,-0.01,0.01,0.02
0.669,0.02,-0.03,0.00,0.03
0.679,-0.00,-0.02,-0.02,0.03
0.689,0.03,-0.04,-0.02,0.06
0.699,0.01,-0.04,-0.00,0.04
0.709,0.01,-0.04,-0.00,0.04
0.719,-0.02,-0.02,-0.03,0.04
0.729,-0.03,-0.02,-0.02,0.04
0.739,0.02,-0.02,-0.01,0.03
0.749,0.05,-0.02,-0.02,0.05
0.759,0.02,-0.03,-0.00,0.03
0.769,-0.01,-0.04,-0.03,0.05
0.779,-0.03,-0.05,-0.02,0.06
0.789,-0.02,-0.05,-0.01,0.06
0.799,-0.01,-0.03,-0.01,0.03
0.809,-0.02,-0.02,-0.01,0.04
0.819,-0.02,0.00,-0.02,0.03
0.829,-0.01,0.01,-0.01,0.02
0.839,-0.00,-0.00,-0.02,0.02
0.849,0.02,-0.02,0.00,0.03
