time,ax,ay,az,atotal
0.000,-0.01,-0.03,-0.01,0.03
0.010,-0.01,-0.01,-0.02,0.03
0.020,-0.02,-0.02,-0.03,0.04
0.030,-0.01,-0.03,-0.01,0.03
0.040,-0.01,-0.03,-0.00,0.03
0.050,0.01,-0.03,0.00,0.03
0.060,0.01,-0.01,0.00,0.02
0.070,0.04,-0.02,-0.01,0.04
0.080,0.06,-0.02,-0.00,0.06
0.090,0.04,-0.03,0.00,0.06
0.100,0.07,-0.01,-0.01,0.07
0.110,0.06,-0.04,-0.02,0.07
0.120,0.03,-0.03,0.01,0.04
0.130,0.02,-0.02,-0.01,0.03
0.140,-0.00,-0.03,-0.01,0.03
0.150,-0.02,-0.02,-0.03,0.04
0.160,-0.05,-0.03,-0.03,0.06
0.170,-0.03,-0.03,-0.00,0.05
0.180,-0.05,-0.03,-0.01,0.06
0.190,-0.05,-0.03,-0.01,0.06
0.200,-0.06,-0.02,-0.01,0.07
0.210,-0.06,-0.02,-0.01,0.07
0.220,-0.05,-0.02,-0.02,0.06
0.230,-0.02,-0.02,-0.03,0.04
0.240,0.00,-0.03,-0.00,0.03
0.250,0.02,-0.03,-0.01,0.04
0.260,0.03,-0.03,-0.00,0.04
0.270,0.07,-0.04,-0.00,0.08
0.280,0.06,-0.05,0.00,0.07
0.290,0.07,-0.03,0.00,0.08
0.300,0.04,-0.03,-0.01,0.05
0.310,0.04,-0.03,-0.00,0.05
0.320,0.01,-0.04,0.00,0.04
0.329,-0.01,-0.03,-0.02,0.04
0.340,-0.03,-0.01,-0.01,0.04
0.350,-0.05,-0.03,-0.03,0.06
0.360,-0.06,-0.02,-0.02,0.06
0.370,-0.04,-0.02,-0.02,0.05
0.379,-0.03,-0.03,-0.00,0.05
0.389,-0.03,-0.03,-0.01,0.04
0.399,-0.02,-0.03,-0.03,0.04
0.409,-0.01,-0.02,-0.02,0.03
0.419,-0.01,-0.04,-0.02,0.04
0.429,-0.02,-0.04,-0.01,0.04
0.440,0.01,-0.03,-0.02,0.03
0.449,-0.00,-0.01,-0.00,0.01
0.459,0.02,-0.03,-0.00,0.04
0.469,0.04,-0.01,0.00,0.05
0.479,0.04,-0.02,0.00,0.04
0.489,0.03,-0.04,-0.00,0.05
0.499,0.02,-0.04,-0.01,0.04
0.509,-0.02,-0.04,-0.02,0.05
0.519,-0.02,-0.02,-0.03,0.04
0.529,-0.03,-0.01,-0.02,0.04
0.539,-0.01,-0.03,-0.01,0.03
0.549,-0.01,-0.01,-0.00,0.01
0.559,0.00,-0.01,-0.02,0.03
0.569,0.02,-0.02,-0.02,0.04
0.579,-0.00,-0.03,-0.01,0.03
0.589,0.02,-0.05,-0.00,0.05
0.599,0.01,-0.06,0.00,0.06
0.609,-0.00,-0.04,0.01,0.04
0.619,0.01,-0.04,-0.00,0.04
0.629,-0.03,-0.01,-0.01,0.03
0.639,-0.05,-0.02,-0.02,0.06
0.649,-0.06,-0.02,0.00,0.06
0.659,-0.03,-0.03,-0.01,0.04
0.669,-0.05,-0.04,-0.02,0.07
0.679,-0.08,-0.03,-0.02,0.08
0.689,-0.07,-0.05,-0.02,0.08
0.699,-0.01,-0.04,-0.01,0.04
0.709,0.05,-0.04,-0.01,0.06
0.719,0.09,-0.04,0.00,0.09
0.729,0.14,-0.04,0.01,0.15
0.739,0.16,-0.02,0.01,0.16
0.749,0.11,-0.02,0.00,0.11
0.759,0.04,-0.03,-0.01,0.05
0.769,-0.08,-0.03,-0.02,0.09
0.779,-0.12,-0.03,-0.02,0.13
0.789,-0.12,-0.03,-0.02,0.13
0.799,-0.07,-0.03,-0.02,0.08
0.809,-0.04,-0.03,-0.02,0.06
