time,ax,ay,az,atotal
0.000,0.00,-0.01,-0.01,0.01
0.010,0.00,-0.00,0.01,0.01
0.020,0.00,-0.01,0.00,0.01
0.030,-0.00,-0.01,-0.00,0.01
0.040,0.01,0.00,0.00,0.01
0.050,0.00,-0.01,-0.03,0.03
0.060,-0.00,-0.02,-0.01,0.02
0.070,-0.00,0.01,-0.01,0.01
0.080,-0.00,-0.01,-0.00,0.01
0.090,-0.00,-0.00,-0.01,0.01
0.100,0.00,-0.02,-0.01,0.02
0.110,0.00,-0.02,-0.01,0.02
0.120,0.01,-0.01,-0.00,0.01
0.130,-0.00,-0.01,-0.02,0.02
0.140,0.02,-0.01,-0.01,0.02
0.150,0.01,-0.02,-0.01,0.02
0.160,0.00,-0.00,-0.02,0.02
0.170,0.00,0.00,-0.01,0.01
0.180,0.02,-0.01,-0.02,0.03
0.190,0.00,-0.01,-0.01,0.02
0.200,-0.03,0.01,-0.01,0.03
0.210,-0.02,-0.01,-0.00,0.02
0.220,0.01,0.00,-0.01,0.02
0.230,-0.01,-0.01,-0.00,0.02
0.240,0.00,-0.01,0.00,0.01
0.250,0.01,-0.01,0.00,0.02
0.260,0.01,-0.01,-0.01,0.02
0.270,0.02,-0.00,-0.01,0.02
0.280,0.02,-0.00,-0.01,0.02
0.290,-0.00,-0.00,-0.01,0.01
0.300,0.01,0.00,-0.00,0.01
0.310,0.02,0.01,-0.01,0.02
0.319,0.00,-0.01,-0.01,0.02
0.329,0.00,-0.02,-0.01,0.02
0.340,-0.00,-0.01,-0.01,0.01
0.350,-0.00,0.00,-0.01,0.01
0.359,-0.02,-0.00,-0.02,0.03
0.369,-0.03,0.00,-0.01,0.03
0.379,-0.02,-0.01,-0.01,0.02
0.389,-0.01,-0.01,-0.01,0.02
0.399,-0.03,0.00,-0.01,0.03
0.409,-0.03,0.02,-0.01,0.03
0.419,-0.01,-0.01,-0.01,0.01
0.429,0.01,-0.00,-0.02,0.02
0.439,0.01,-0.01,-0.02,0.02
0.450,0.02,-0.01,-0.02,0.03
0.459,0.02,-0.01,-0.00,0.02
0.469,0.03,-0.01,0.01,0.03
0.479,0.02,-0.01,-0.01,0.03
0.489,0.00,-0.01,0.00,0.01
0.499,0.02,-0.02,-0.00,0.03
0.509,-0.01,0.00,-0.01,0.02
0.519,-0.00,0.01,-0.01,0.02
0.530,-0.01,-0.01,-0.01,0.02
0.539,-0.02,0.02,-0.01,0.03
0.549,0.00,-0.01,-0.01,0.01
0.559,0.01,-0.01,-0.01,0.02
0.569,0.02,-0.02,-0.01,0.03
0.579,0.01,-0.01,-0.01,0.01
0.589,0.01,-0.01,-0.01,0.02
0.599,-0.00,0.00,-0.01,0.01
0.609,-0.01,-0.02,-0.01,0.03
0.619,-0.02,-0.01,-0.01,0.02
0.629,-0.02,-0.01,-0.00,0.02
0.639,-0.02,0.00,0.01,0.02
0.649,0.01,0.00,-0.00,0.01
0.659,-0.01,-0.00,-0.01,0.02
0.669,-0.01,0.01,-0.02,0.03
0.679,-0.02,0.02,-0.00,0.02
0.689,-0.01,0.00,-0.01,0.02
0.699,0.01,-0.00,0.00,0.01
0.709,-0.01,-0.01,-0.01,0.02
0.719,0.00,-0.00,-0.01,0.01
0.729,0.01,-0.01,-0.01,0.02
0.739,0.02,0.01,-0.02,0.03
0.749,0.01,-0.00,-0.01,0.02
0.759,0.00,0.01,-0.01,0.01
0.769,-0.01,0.01,-0.01,0.01
0.779,0.01,-0.01,-0.00,0.02
0.789,0.01,-0.02,0.01,0.03
0.799,0.03,-0.01,-0.01,0.03
0.809,0.01,-0.01,-0.00,0.02
0.819,0.00,-0.02,-0.01,0.02
0.829,0.01,-0.00,-0.02,0.02
0.839,-0.02,-0.00,-0.01,0.02
0.849,-0.02,0.00,-0.00,0.02
0.859,-0.02,-0.00,-0.01,0.03
0.869,-0.02,0.00,-0.01,0.02
0.879,-0.02,0.01,-0.02,0.02
0.889,-0.02,-0.00,-0.00,0.02
0.899,-0.01,0.00,-0.01,0.01
0.909,-0.01,0.00,-0.00,0.01
0.919,0.01,0.01,-0.01,0.02
0.929,0.03,-0.00,-0.01,0.04
0.939,0.03,0.01,-0.01,0.03
0.949,0.01,-0.01,-0.02,0.02
0.959,0.00,-0.00,0.00,0.00
0.969,-0.02,0.00,-0.01,0.02
0.979,-0.03,-0.01,-0.01,0.04
0.989,-0.01,-0.01,-0.00,0.01
0.999,-0.00,0.01,-0.00,0.01
1.008,0.02,0.01,-0.01,0.02
1.019,0.02,-0.01,0.00,0.02
