time,ax,ay,az,atotal
0.000,0.00,0.02,0.00,0.02
0.010,0.00,0.01,-0.01,0.02
0.020,-0.01,0.03,0.00,0.03
0.030,-0.00,0.02,-0.00,0.02
0.040,-0.01,0.02,0.00,0.03
0.050,-0.01,0.03,-0.00,0.04
0.060,-0.01,0.02,-0.00,0.02
0.070,-0.01,0.00,0.00,0.01
0.080,0.01,0.01,-0.01,0.02
0.090,-0.00,0.03,-0.00,0.03
0.100,0.00,0.04,-0.00,0.04
0.110,0.00,0.02,-0.01,0.02
0.120,-0.00,0.04,0.00,0.04
0.130,-0.00,0.01,-0.01,0.02
0.140,-0.02,0.02,-0.01,0.03
0.150,-0.01,0.01,-0.01,0.02
0.160,-0.03,0.04,-0.02,0.05
0.170,-0.02,0.04,-0.00,0.05
0.180,-0.02,0.02,-0.00,0.03
0.190,-0.02,0.02,-0.01,0.03
0.200,-0.01,0.03,-0.00,0.03
0.210,-0.01,0.04,-0.01,0.04
0.220,-0.01,0.03,-0.01,0.03
0.230,-0.00,0.02,0.00,0.02
0.240,0.00,0.04,0.01,0.04
0.250,0.01,0.04,0.00,0.04
0.260,-0.00,0.01,0.00,0.01
0.270,-0.00,0.00,-0.00,0.01
0.280,-0.01,0.00,-0.01,0.02
0.290,-0.03,0.01,-0.00,0.03
0.300,-0.05,0.01,-0.02,0.05
0.310,-0.03,0.01,-0.00,0.03
0.320,-0.04,0.02,-0.00,0.04
0.330,-0.03,0.04,-0.01,0.05
0.340,-0.03,0.03,-0.01,0.04
0.350,-0.02,0.02,0.01,0.02
0.360,-0.00,0.02,0.01,0.02
0.370,-0.01,0.03,-0.00,0.03
0.380,-0.01,0.02,-0.01,0.02
0.390,0.00,0.02,-0.02,0.03
0.400,0.00,0.03,-0.01,0.03
0.410,0.00,0.03,-0.02,0.04
0.420,-0.02,0.04,0.00,0.05
0.430,-0.02,0.03,-0.01,0.03
0.439,-0.01,0.02,-0.01,0.02
0.450,-0.01,0.03,-0.01,0.03
0.460,0.00,0.03,-0.01,0.03
0.470,-0.02,0.01,-0.01,0.03
0.479,-0.00,0.03,-0.02,0.04
0.489,-0.02,0.03,0.00,0.03
