time,ax,ay,az,atotal
0.000,-0.00,-0.01,-0.01,0.02
0.010,-0.01,-0.03,-0.02,0.04
0.020,-0.01,-0.01,-0.02,0.03
0.030,-0.02,-0.03,-0.03,0.05
0.040,-0.02,-0.03,-0.01,0.04
0.050,-0.03,-0.02,-0.03,0.05
0.060,-0.02,-0.01,-0.02,0.03
0.070,0.00,-0.02,-0.03,0.03
0.080,-0.01,-0.03,-0.01,0.03
0.090,-0.00,-0.04,-0.00,0.04
0.100,-0.00,-0.01,-0.00,0.01
0.110,0.00,-0.01,-0.01,0.02
0.120,-0.01,-0.02,-0.03,0.04
0.130,-0.00,-0.02,-0.02,0.03
0.140,0.01,-0.02,-0.01,0.03
0.150,-0.00,-0.01,-0.01,0.02
0.160,0.01,-0.01,-0.02,0.02
0.170,0.03,-0.00,-0.01,0.03
0.180,0.03,-0.01,-0.02,0.04
0.190,0.02,-0.02,-0.01,0.03
0.200,0.02,-0.02,-0.00,0.03
0.210,0.00,-0.04,-0.03,0.05
0.220,-0.01,-0.02,-0.03,0.04
0.230,-0.03,-0.01,-0.00,0.03
0.240,-0.07,-0.01,-0.01,0.07
0.250,-0.07,-0.02,-0.02,0.08
0.260,-0.06,-0.03,-0.02,0.07
0.270,-0.04,-0.03,-0.01,0.05
0.279,-0.02,-0.02,-0.01,0.03
0.290,0.02,-0.03,-0.01,0.03
0.300,0.04,-0.01,-0.02,0.04
0.310,0.06,-0.02,-0.01,0.06
0.320,0.05,-0.03,0.00,0.06
0.330,0.03,-0.01,-0.01,0.04
0.340,0.02,-0.03,-0.02,0.04
0.350,0.02,-0.03,-0.00,0.03
0.359,-0.01,-0.03,-0.01,0.04
0.370,-0.04,-0.01,-0.02,0.05
0.379,-0.05,-0.03,-0.02,0.06
0.390,-0.05,-0.02,-0.02,0.06
0.399,-0.05,-0.00,-0.03,0.06
0.410,-0.05,-0.02,-0.02,0.06
0.419,-0.02,-0.03,-0.02,0.04
0.429,-0.01,-0.03,-0.02,0.03
0.439,0.01,-0.01,-0.02,0.02
0.449,0.01,-0.02,-0.01,0.03
0.459,-0.00,-0.01,-0.01,0.02
0.469,0.01,-0.04,-0.00,0.04
0.479,-0.01,-0.03,-0.00,0.03
0.489,-0.03,-0.02,-0.01,0.04
0.499,-0.03,-0.02,-0.00,0.04
0.509,-0.01,-0.03,-0.03,0.04
0.519,-0.02,-0.01,-0.02,0.03
0.529,-0.01,-0.01,-0.01,0.02
0.539,-0.02,-0.02,-0.01,0.02
0.549,-0.02,-0.03,-0.03,0.04
0.559,0.00,-0.02,-0.02,0.03
0.569,-0.00,-0.01,-0.02,0.03
0.579,0.00,-0.03,0.01,0.03
0.589,0.01,-0.03,-0.02,0.04
0.599,0.01,-0.03,-0.01,0.03
0.609,-0.00,-0.02,-0.01,0.03
0.619,-0.01,-0.02,0.00,0.03
0.629,-0.05,-0.01,-0.01,0.05
0.639,-0.07,-0.02,-0.02,0.07
0.649,-0.04,-0.00,-0.01,0.05
0.659,-0.06,-0.01,-0.01,0.06
0.669,-0.05,-0.01,-0.02,0.06
0.679,-0.04,-0.01,-0.01,0.04
0.689,-0.04,-0.02,-0.02,0.05
0.699,-0.02,-0.02,-0.02,0.04
0.709,-0.01,-0.02,-0.01,0.03
0.719,0.00,-0.04,-0.01,0.04
0.729,0.00,-0.04,-0.02,0.04
0.739,0.04,-0.02,-0.02,0.05
0.749,0.05,-0.03,-0.02,0.07
0.759,0.06,-0.02,-0.02,0.06
0.769,0.06,-0.00,-0.01,0.06
0.779,0.07,-0.02,-0.01,0.08
0.789,0.06,-0.02,0.00,0.06
0.799,0.05,-0.01,-0.00,0.06
0.809,0.05,-0.04,0.00,0.07
0.819,0.03,-0.03,-0.00,0.05
